48 36 10 10 10
6B7 44C 3E8 16E 4E1 3E7 3B2 2D 458 137 1C 54E 228 3AD 84 A9 339 68 281 42E 59 3FD 10D 19E F4 26F 253 5C1 6A1 529 65B 2D4 628 3ED 227 212 676 10E 42A 1C0 33 2F6 5F0 4A1 4F2 208 25C 299 
1BE 60A 460 1B1 5EE 173 5EA 4B0 355 41D C2 447 463 6B2 54F 50E 1AA 62C 495 122 123 139 15 51 669 116 41 48A 490 4C6 27 57E 34E 7E 3A 340 7F 475 EA 32D 4A5 3E6 28B 9E 20C 603 3C4 214 
353 6A6 4F1 65F 3C0 3D6 69D 36D 5C8 5A4 11D 273 63C 36B A0 A3 2C0 229 473 48C 1C8 3E3 563 140 4FE 376 4B5 45A 4CD 29A 523 436 6AC 1E7 EE 16C 5A8 1E9 2E4 673 33D C4 129 609 5C4 BB 17F 5B2 
21D 1B4 5E2 435 3D8 657 50C 34A 11C 5D2 3F2 231 53F 46D 2A9 2E3 5F2 637 CC 4EE 4F5 190 6F 278 4DB 232 56E 329 3A8 377 9D 2D7 17D 304 602 468 284 647 2DC 200 55F 2A 4CE 1EF 3A9 0B 42B 5BB 
691 1A3 398 4E3 166 62E 1F6 12 1BF 31B 2C6 5BA 347 58E 50 1BB 580 158 588 2B0 2EF 6A2 40 420 15A 5DF 64F 02 18C 60E 42 150 4AB 104 63D 79 1EC D6 3E5 5A9 32F 5C3 1B0 27F 225 5B0 464 4A7 
3A3 20B AF 382 BD 87 2DE 154 6A 366 34C 260 53 5C9 132 1CB 61B 29B 364 31E 46A 1E2 F1 16 22 4F8 53B 59E 12B C1 44B 2C 3BE 646 622 600 106 3F5 CA 24B 3B1 6B9 59B 48B 24F 479 30C 177 
1D5 1DA 2AB 3DD 5BE 63F 548 1CF 414 672 279 47A 1EB 23F 483 5E4 83 160 1D4 4F9 47C 6A0 1C6 54A 32C 331 54 19A 636 161 39B 94 57F 5DE 335 18A 109 19D 7D 12A 0E 52F 223 3A5 427 118 5E8 3AB 
26B 1DF 3C8 17A 18E 16B EB 5CC 66 1B9 1A4 4CB 4C9 578 4BB 6C 381 37F 20D 12E 481 5B9 7A 42C 120 433 49C 28C 2CF 5F5 664 1A 4BD 37C 3AC 59D 406 341 15F D3 5CF 617 31C 697 38C 424 12C 30 
56D 550 615 513 65A 44 437 418 426 1A5 23B 599 677 29 B5 1CC 682 323 455 35 21B 18D 6AB 2D1 30F 399 49 39D 57C 53D 690 1D0 1D1 300 2DD 6AE 5C2 650 5D1 236 11F 35A 64B 14E 23C 2F8 197 E5 
3D3 15E 2F2 2EE 319 336 3BF 607 6B8 521 3D9 34D 1F2 141 4F7 348 400 B6 6D 5D DB 493 5B3 55A 2D3 63A 4B7 36C 49D 2EA 46E 44D 4C7 258 320 68B 28A 191 222 4E2 14F 37 3D0 CE F7 3EA 532 4C 
60 35B 52 58A 32 3CD FE 12D 4B9 587 65D 6AD 1AD 469 D0 658 39E 13F 283 2E6 3C7 5AD 280 66F 66A 530 367 2A0 360 3D7 254 C9 15C 312 134 6A3 3E0 D1 277 442 4E8 4BC 1C2 635 4BE 5FF 202 8C 
2CD 5F3 62D 2C2 64 2FB 554 2C8 506 04 193 E0 597 5D0 688 4C8 E9 2B7 4C3 11B 574 247 2BD 6BF 666 46F 4B8 38E 101 5BD 502 342 538 24A 135 10F 127 1E4 2BE 321 3EB 443 372 1F9 64E 274 263 22F 
5ED 525 5AE 61E 526 5C 5A0 48D 1CA 4C0 33F 5D5 596 2B5 359 3DA 653 2B8 3B3 3B0 510 59F 385 216 170 2FC 3F7 584 61A 192 23D 257 509 4A6 169 1B3 0D AC 1B 8E 1B8 67C 318 265 551 310 69A 13E 
