48 36 10 10 10
518 546 588 65B 402 1AF 1CF 95 350 5F9 5A3 180 5F 485 112 19E 43E 386 3D 257 60C 36E 2CE 3BD 3AB 610 5F8 F8 698 1F8 1E2 1A3 16F 5D6 271 3EB 40C 109 13A 162 195 4D0 398 387 5D7 59B 328 36F 
523 617 506 177 4A9 46C 1B5 5A9 491 487 49B C5 1B6 163 290 2E1 66E CA 1C3 3F8 269 5FB 2BA 1F9 6AC 209 6A8 5B2 8A 49D 359 469 2A8 637 1BE 47F 68F 5E 456 651 413 21D 3A5 142 23 656 467 4A7 
FC 527 55C 1E6 1E 693 440 47B 4D9 330 642 443 38C 623 3C9 49E 5D 5AC 49 55E 5C4 679 73 31B AD A6 56 672 2F3 28 6A4 10F 2DC 5ED 477 AF 50D 607 B9 4D4 410 595 196 3E7 37A 320 90 6BC 
2BD 137 34F 117 16C 30F 15E 4E1 5C8 DE 268 CB 5D2 11 51C 12A 683 226 35E 39C 262 DA 222 50 26A 2C1 673 BA 12F 197 279 557 1D 4E4 562 4C1 2E0 57D 357 22C 51A 3B0 254 664 3C7 44 495 460 
C6 5C1 32F 11E 55D 3A9 324 1ED 580 68D 278 395 1CC 46D 18B 270 1EE 69C 10 25C 69E 2A3 1BC 6A2 5BF 1FA 47E 252 5BA 4D 3B7 28D 6D 71 674 35 70 54C 280 59F 6A1 42B 0B 17E 22 2FD 3A8 3BB 
261 633 285 54F 342 2D 15 5F1 21F 89 26B 41A 45E 4F2 1D8 21 17A 1AD 39A 5C0 A2 50F 30B 05 2E2 5B1 173 237 4EF 464 24B 503 5A 415 EF 22B 310 5E8 3BC 2B2 505 4BF 3ED 138 267 451 CE 20F 
47A 1A1 576 68A 48E 1DF 63D 42C 1D4 125 64C 30A 2AC 355 501 38B 49A 60E 2CB FA 5DB 553 44D 641 69B F2 147 50C 68E 40 5F4 18A 22E 2FE 2B1 111 193 537 79 528 569 3A2 ED 497 39D DD 24A 42F 
53B 292 6C 2FF 119 2EA 48A 239 606 00 208 385 5A6 29C 13B 1F6 65F 46 647 31 539 4F7 636 5D3 56B 1B8 370 203 297 223 140 C8 47C 210 1B4 601 9C 61E 572 354 441 522 69 401 660 17F 291 17 
179 533 11A 5B4 2C6 248 27C E0 258 6AA 62A 1FE 5CC 428 232 600 18F 2E4 56E 603 13E 1A5 3C8 54D 6BF 400 16E 558 585 7C EC F1 624 662 486 56C 5D4 30E 172 6B3 351 1E7 22F 4B7 10C 452 5E0 4E3 
4C3 27 362 4FE 5C 609 333 17B 431 236 4DE 1CE 2A2 343 4EA 12E 2E3 520 1D5 35D 19C 2B9 629 5DD 3C5 2FB 3B2 205 230 83 425 25E 5AD 5C6 336 377 64F 2CA 128 371 312 2E8 7F 671 4C0 115 247 2F6 
688 58E 618 3DD 332 42 3F5 341 1DC 4E 4B2 4BC 339 103 60A 535 35B 4A6 3C2 612 382 3D8 4DA 26 436 348 5A1 4A5 52E 13D 57B 583 58A 55 64 4C7 6BB 53D 1EC 599 14F 53E 3FB 4B8 2D1 4CB 37C 16A 
