48 36 10 10 10
0A C0 52D 60A 200 2B6 620 22E 1CC 3EF 4EB 18E 670 5AE 282 0B 18A 338 3C4 F3 2FD 2C9 29D 5EB 4E2 58D 248 5AF 230 5F6 181 5FE 3B8 4C8 212 3A1 6A6 2C5 579 42E 4E1 632 0C 623 1C2 0D 2D 59F 
5CF 24C DD 233 2E6 1D9 3EE D8 91 694 56D 158 500 13F 44F 1E0 1F7 60E 0E 0F 32F 3B1 57F 3BE 14A 4F8 504 4DD 667 161 2F5 154 255 407 693 363 382 275 5D1 39 273 105 1D0 3EA 610 242 404 6A7 
1C5 639 611 18C 4C2 1B7 108 15B 223 1CD 10 501 680 249 11 19B 28C 26E 5AC 330 483 5A3 482 682 5D8 63C 489 548 168 302 644 528 309 31A 3B3 10A 312 49D 4E8 695 5C1 396 3CE 580 5F7 40B 14F 2C7 
24B 539 20A 126 44 12 445 3BD 63B 699 640 32C 2D5 56F 3E6 13 264 5E4 428 234 3E7 17B 3AB 2BB 66C 341 52C 630 618 8B B7 137 49E 292 600 14 2B8 28 15 39B 679 485 A0 155 2C4 35A 32B 4A2 
45 646 529 1A 5A4 101 1B 2B9 179 495 4D3 394 141 512 3DA 5B0 12E 129 634 591 35C 441 1C 152 BA 1D 375 C5 27D 323 61B 1E 367 3FA 250 145 2DD 431 2D3 4C4 68F 420 5A9 477 2B7 254 3BB 2DE 
2BC 09 2D7 B5 390 6B4 F2 213 49A 127 53D 303 1F 4A0 4C 3DC 411 2CF 518 20D 4C5 4B 20 1C6 55D 5B 162 EE 527 6B5 392 123 30F 68 157 17D 207 61A 35E 1DF 173 1E4 3D3 65F 40A AD 1C3 57B 
5A7 601 228 2B4 1A7 594 674 360 183 2DB 21F 18B 78 5FF 2A9 364 533 660 58 356 470 4E5 45A 491 4CC 210 4CA DC 2E4 369 3B4 38A 22A 37 290 384 337 BB 46D 1F5 41B 17 48A 1A4 24F 55E 593 619 
51A 29E 46A 50D 60B 4B0 135 1B5 335 1AC E9 4BD 7C 339 5EE 4AB 21 3DB 688 5B7 46B 643 1C8 5E2 33A 276 22 638 5E1 4CF 311 23 5FD 584 1E1 D3 D9 60C 243 85 637 4EE 52B 26C 6AB 1C1 653 64B 
4E0 20E 403 1A0 3E1 23D 5C5 33C 237 4BF 496 24 402 358 160 3E4 629 552 4CB DA 42F 613 480 182 A2 381 132 409 479 616 1BD 366 A1 351 5D6 2B0 502 4AF 169 19D 05 320 408 A6 379 3BF 617 15A 
2DF 691 6B3 494 6A0 3A7 557 119 5C4 56A 25 4AC 377 8E 345 3F7 37A 48C D4 45C C8 4D1 635 354 4CE 388 151 C1 4D8 471 167 429 2B5 2A1 349 5D 32E 625 3A 4C3 49 57A 46C 1FD 96 6BC 497 62A 
576 677 D0 631 46F 3B9 13C 8C 226 466 11F 28D 43F 2C6 50A B6 5B6 3B 559 4B2 659 3C 1BA 41A 50C D2 4A3 1ED 3BA EF 281 279 547 340 BF F8 10D 3ED 221 265 172 AF 95 266 6B7 1FF 29 43E 
7B 3D7 40E 2F2 314 A8 2C1 258 370 3C9 197 15F 5B8 5DA D6 5D7 67E 582 56C 60D 6AD 4A8 25B 65 3D 3F6 44A 11A 2AC 55 45B 5DF 536 661 3E 4C9 260 130 4FD 3F9 4E4 128 34B 633 3C0 47D 39A 2E7 
3C6 606 23E 468 5CD 2D0 549 2E8 F4 5CE ED 588 5BE 2D8 7D 652 51C 6B6 2E9 2AB 455 1CA 17F 34D 378 18D 28B 41F 426 BC 16A 5AD 53C 3DE 416 102 21B 150 14D 608 599 3AC 3F 163 284 1E7 97 27E 
40F 676 603 3AA 546 508 2FA 2E2 214 3CA 647 58B 5DD 86 26D A4 23C 1D5 544 25E 342 645 22D 5DB 54E 15C 5C2 444 5C8 49B 19C 30A 478 291 4FA 116 40 413 13E 1FE 153 38D 35F 3E0 514 274 28E 2C 
E8 59C 4F0 398 F9 666 72 36F 418 3E8 4F6 3B7 516 33 51E 21E 39E 614 AA 1B1 180 2F0 12A 401 4B1 22B 453 1DC 499 30B 10C 4E7 51F 328 263 59B 17A 2F1 29C 1B4 2FF 697 64A 376 42A 201 493 4BC 
32 1F3 68A 5E5 47 30C 41 65A 11B 06 295 348 36C 66F 318 391 100 626 2A0 7E 2A5 42 4D9 3B0 280 305 350 43 121 3C5 92 1A6 3FC 306 69B 34F 38F 2EB 5D2 484 65C 59 174 415 602 656 55A 5C3 
196 385 33D AE 104 22F 578 313 571 1E3 4D 604 C7 241 556 2A8 432 4E 2A 473 58A 4F 50 19A 25C 3A5 52A 53B 2EF 30 605 5A8 34E 698 1E8 465 177 332 7A 399 1C9 6A3 596 1B9 13B 5BB 51 5B9 
52 64E 307 537 19 208 5F 36D 269 627 412 612 178 1F6 6AC 474 569 6B1 344 56B 4A5 4A4 6A9 3B2 2BF 2AD 509 321 283 5CB 53 6BF 235 87 64D 3DD 69C 560 333 3A2 41D 294 2CB 25F 35B 301 67F 4EC 
122 54 61C 467 55C 357 5B5 439 3F8 657 4EF 6A 193 109 5E 220 347 451 433 486 3A3 581 3A0 31E 538 585 2F4 22C 532 410 2CA 2A2 2D2 5A 3F4 3A9 3CD 597 568 188 194 58E 48E 27F D1 692 1CF 64 
4C6 3AF 77 452 47E 450 6B 520 304 23B 531 564 355 5CA AC 19E 507 BE 5BA EC 45F 488 6BE 1C4 37C 75 FF 5DC 166 4F4 4E3 2FE 48D 53F 2ED 3E9 F1 6C 5E3 FA 524 1D8 3D0 23F 469 03 171 261 
6D 4DF 38C F6 93 66D 5A5 1D2 47B 36 326 25D 259 622 2B 149 624 1A2 423 519 565 69A 1FB 427 57C 615 57D 66A 6AE 27B 17C 3FB 443 257 62F 115 31 459 4F7 39F 218 6E 5B2 5A6 2DC 10F 16C 4FC 
664 654 3EC 07 B8 681 4B9 43A 566 1B8 373 1E2 30E 510 61F 2A7 117 6F 5D5 1F2 139 217 668 1BE 156 70 4E9 5F1 43D 66 18 4A 57E 224 206 71 651 393 421 5B3 4FE 636 457 554 463 4DA 4C1 62 
55F 550 7F 268 329 5F0 2E3 563 94 387 25A 1B6 687 662 525 236 225 331 33F 475 80 69 26A 6A5 61E 01 389 1EA AB 00 365 50F 609 2A6 F5 B9 68D 140 81 48 506 419 38 317 1CB 82 2C3 68E 
41E 83 50E 27A 28F 148 56 184 449 2D6 3A4 84 175 5F9 3CC 27C 262 13D A9 577 5F2 553 238 4AE 99 4B3 DB 32D 1DD 530 246 29A 3C1 DE 209 4F5 5BC 3A6 5E9 53A 5AA 1FA 46E 120 23A 665 9A 02 
4ED 4D7 6A8 4F3 BD 227 62C 3F0 4BA 456 4A6 3FF 287 324 1AE 5E6 60 12F 9B 30D 2CC 362 10E 51D 5E8 2F 1A5 4EA C9 490 47A 67B 6B2 4B5 1A1 69E 43C 21C 176 1AA 52E 621 32A 24E 572 1EB 277 16B 
4E6 272 186 11C 685 406 6B9 C4 2DA 570 D5 526 42C 435 2AF 562 52F 545 400 2CE 5ED 47C 42B 5DE 21D 5EC 103 607 43B 540 48F A3 39D 31F 4BE 58F 5B1 165 9C 308 1BB 9D 671 1F9 689 5F3 64C 26B 
9E 319 587 5A1 2AE 59E 271 555 74 1F0 511 498 1F4 4FB 683 5F5 67 1E6 5D9 9F 298 2B1 442 460 46 14C 40D 542 44D 31D 33B B0 62D 65B 684 353 430 16F 5FC 36B 4B6 11E 3B6 4A7 567 6AA 2F9 187 
590 125 5F4 648 1D7 424 2A3 61D 198 5C9 B1 3F5 76 4F1 42D 33E 107 31C 4BB 66E 2D1 2E5 675 288 C3 3E5 5C6 256 215 437 517 1F8 299 59D 6A1 278 34 55B E6 204 58C 3CB 2F3 3AD 461 15E 663 90 
63 472 65E 106 08 425 346 4F9 2BD 34A 422 395 13A 38B B2 B3 222 B4 4D2 1FC 44B 211 434 5BF 136 285 492 63D 386 41C 575 673 464 11D 2C0 1E9 336 5FB 16E 185 380 3DF 247 505 5EA E7 79 3C2 
