48 36 10 10 10
4EA 124 6A8 654 58A 94 21C 2A A0 45D 2C4 352 275 268 64D 363 558 28B 5E1 525 63D AD 279 3BF 3CC 64C 699 D7 2AD 4BB 5BB 30A 4EB C8 441 462 672 430 7F 3A2 4CB 29B 5E0 6A5 16D 239 282 591 
203 2DB 537 1B0 627 6B9 4C6 1D1 261 14E 3F3 1A5 140 39C 221 57A 3BC 3FB 0A 27 31D 9B BF 2CB A4 497 AA 3AC 653 58D 42D 34E 158 263 599 3BA 4E0 4A3 61C 569 219 3A8 391 4DA 3B9 26F 2E5 582 
286 330 199 45 29C 5B7 4EE 43B 30 6B0 1D4 114 1F7 334 294 470 2E8 37D 43A 577 426 15D 66C 2FA BB 46F 45C 249 425 4F1 34C 20B 8B 4BA B4 4D1 2EB 2A0 380 531 4D5 420 50E 2D9 11E 5C5 3D3 29F 
23D 2AC 579 190 51F 5F9 375 40A 439 544 30F 5E3 56F 538 23F 269 635 35E 57 320 6A2 38B 511 548 371 567 6E 641 69C 255 41C C1 698 17D 2ED 469 28C 14F 67F 411 68 482 2D5 06 1E1 417 449 9E 
187 F4 424 1C3 3B2 47F 308 5DC 1BD 183 618 468 587 2B7 172 1F4 377 4BC 1C 348 185 27C 4B1 273 4E6 498 12C 53 100 565 5EF 434 646 660 2EE 155 08 3BE 5A2 6B5 19C 2C 403 551 19 6B7 581 DB 
1EC 3CD 3D9 18E 2C9 6AE 386 1A2 BE 610 64A 30E 48F 465 2D3 116 489 4A0 3AB 63B 5CE 2B2 50D 445 2D4 419 1C7 620 1D0 416 542 AC 6B8 331 463 27F 22 3B5 35A 4FF 19A 39 321 318 6A6 CD 507 4DC 
2F 1B9 658 13D 305 D5 5CA 62E 61A 1E2 20C DE 4CF 139 32F B9 EB 47 3B8 52 5B9 63A 3B 163 53F 414 1A7 628 2BF 19F 182 17F 4A 5A4 1E3 491 58C 5AD 552 3D4 662 1D8 1FA 71 680 523 25C 385 
13C 412 585 5E4 42B 33E 5E2 67A 5DD 09 503 30B A5 49F 4FD 5A0 361 53B 3F7 DD 9A 590 136 2C5 63F 177 208 192 67B 3DF 2D0 1E4 1DF 405 60E 67 347 1F 481 350 1E6 1E 153 152 373 640 1AD 1A1 
5E7 98 4D3 5A1 332 E4 608 356 137 59A 12E 23C 48C 1E7 276 527 4A5 293 5CF 1B1 6F 6B3 6BC 146 1D 236 7D 55A 522 57F 206 5BD 54A 594 379 671 4B 5C3 381 526 46D 666 383 47E 195 11 3A6 2C2 
16C 54B 37B 5F8 138 45B 12 418 15B 2F5 553 402 F1 64 376 159 B6 630 2AF 20D 3B0 2E9 564 541 2AA FC 65C 645 13F 357 2F8 5B4 3DA 636 2E3 26 38D 127 4B3 19D 57C 670 39E 4D2 2E0 451 519 2BB 
63C 4F4 245 4A1 4F0 5AF 639 56C 682 404 393 36F 11D 12F 4C 14A 00 502 C2 39A 643 52B 520 F0 56D 196 3AF 532 2E2 69D 251 11B 4F9 638 17E 652 595 3E8 59C 240 171 33B 4E9 41 480 1C5 18A 5C8 
