48 36 10 10 10
D8 3A3 217 479 3CD 37E 286 36E 509 384 339 392 2B8 6A4 232 1B5 44C 5AA 454 2AC 46C 580 18 3C9 5B3 1B4 524 66D 54B 2CD 4AF 3FB 567 2DB 292 107 299 521 59C 5A2 1F7 5A 2AE 478 34C 247 6A3 4E5 
3FF 1A5 4AA 0F 55 273 22E 562 12F 2A 368 CD 4F2 46A 58F 679 5E 6B6 3B0 1EB 105 50E DD 3E7 682 69F 5D3 4B7 4E7 4C0 4A6 41C 23D 5DD 1FD 610 237 7D 2E5 5C 336 146 5DB DB 13F 226 2FF 2B1 
6F 4AE 4AC 254 62F 43B 3D6 106 6AB 439 3C1 493 2E6 1E9 2A0 34 69E 4B3 111 609 34B 241 476 347 3FD 6BE 3BF 95 322 55E 304 67A 37 323 366 38 4E3 1A2 250 3BD 1AF 355 4E1 236 599 531 03 19D 
5E3 302 42E D0 5CC 5BA A6 5F5 518 19C 665 296 4A0 456 197 183 133 375 413 3A8 1DD 4C5 231 416 596 4DA 28 206 93 2ED 1D8 348 149 28B 5CF 1EA 546 30 62 142 26 2D6 37D 1F3 68 268 2EC 6A0 
34E 3BB 32B 31 668 3CA 48C 4C3 575 559 677 14D 48 4B4 C3 211 190 5F6 11B 20C 89 EC 1E8 122 500 5D4 180 14E 469 461 282 2FA 2C8 39 2C4 407 404 1B0 7C 5DE 612 1E2 4E2 2EF 504 670 527 3F3 
255 274 15B 2AD 4F7 02 144 491 502 4ED 25B 66B 288 294 5E0 42A 2A3 258 5FF 2EB B9 191 3B2 2CF 203 BD 1ED 13C FA 3C7 BB 256 547 42D 69D 2EA 40C 684 2BB 209 3C5 5B1 156 680 600 276 61C C5 
3BC 33F 16 29B 556 3E8 5DF 4FC 60 38D 526 196 371 113 463 210 17F 515 494 26D 14C 660 176 1CD 65B 18A D7 1EE FC 4EC 457 2F1 39B 342 198 585 D6 67 569 10E F2 608 64A 28D 3A1 265 157 175 
4AD 5EA 444 32F 195 633 498 21B 1D0 A1 17E 115 687 40D 2C0 2F8 3AE 12A 5A4 31B 28A F0 208 69A 5D5 1E3 4CC 45F BC 1A 55C 533 2B6 287 2E7 24A 4BC 2A4 23 658 4F3 2D 2FC 10C 344 3A9 35E 50C 
47 91 24D 1AB 33 27E 44 4B5 14F 189 590 1C7 35D 383 29F 1BE 641 225 354 5C4 67C 64B 59B 1C8 4A5 4E4 145 351 661 330 F7 340 595 5FD 9C 61B 3E1 530 11D 223 65 4C6 55F 67F 3F8 2CC 605 3B1 
424 360 263 377 1B8 472 3E3 40 3A5 35F 0D 53D 589 2C1 418 100 617 1D3 6D AE 644 499 63A 1C2 501 1FC 450 47F 3CE C8 52C 14 D1 337 513 432 13E 497 581 399 329 E6 121 573 E2 51B 68F 417 
92 49C 2A5 16F 295 25F 75 343 54C 550 152 324 3F1 01 3B7 3B3 28C 303 5A1 447 44E 674 598 2BA 571 B3 6BA 10 79 5BE 128 4C4 1C1 69 39F 41 279 40E 153 99 B0 1FA 2D0 2C6 63 60A 1C6 3C6 
5DA 5C0 686 138 57D F4 642 2F 45E 5A8 125 164 16D 48E 4F8 5E4 2E9 3C4 13D 4B0 582 24E 4D5 62A 2CB 5FB 645 50 50B 56E 387 35 24 5F1 505 597 96 558 4C8 42C 1A8 618 320 2AF 626 400 5E2 691 
1E7 426 3BA 5ED 41B 3E5 390 552 98 1F0 5D 1F 262 3EB 30C 181 27C ED 437 604 2B C9 3CB 21A 5CB 216 CB A5 38C 6B3 33E 179 13 43D 251 389 82 4A4 43F 9F 5D7 2E 470 C1 A9 412 301 15D 
486 2BD 46E 49 32A 689 22F 653 278 59 42B 1E 2B7 4D 2B4 520 442 5C8 44A 4B9 331 480 284 5AC 5BC 4D6 22D 224 615 49E 23F 4D7 2F6 2A7 3FE 2BC 405 1D6 425 359 462 477 482 2F0 386 487 41A 148 
24C 1DF 24B 06 451 6A2 65A 438 4F1 112 43 AD 3A6 362 396 39C 130 692 28F 655 E8 DC 2C2 4DD 484 352 139 619 4F6 601 1FF 3D0 3A4 423 293 2DD 18C 333 1C 46D 8B 427 328 1D4 45A C2 8E 669 
66A 1D2 32E 542 5C9 1B1 57B 630 36A 591 4C 553 00 30A 59A 167 488 17B 467 22C 8A 5D9 3D2 376 349 DE 58B 214 650 4E 3F2 D3 6A1 374 3A0 60E 370 369 243 1AC 16B 68D 18E 1FB 15E B8 36C 280 
