24 18 10 10 10
13E 5F F7 1A4 84 1A3 92 0F AB 11D 129 CC 146 194 130 30 14A 142 122 118 7F 1A2 189 D2 
A1 183 63 17B 17E 115 10 07 2F 86 11 135 36 1AA C7 12 11B 08 F1 19E 3E 13 18F EA 
89 112 04 93 CB 79 1AE 8D 14 100 137 B1 D0 180 11A 165 21 110 C9 03 6E A7 10B 145 
17 1AB ED 175 179 52 BF 99 81 18D 155 34 94 B9 188 133 9E FB B8 EC 10E 192 88 15F 
71 00 190 25 173 62 11C 23 15 12B 5E 187 26 78 102 F9 120 178 7D F2 DC 14B 91 1A6 
AF A9 67 197 85 98 83 162 160 4B 113 124 BC BE 32 70 17C 153 191 6A 73 141 140 154 
27 EE 193 28 C8 29 1A7 104 131 168 186 164 159 68 158 60 2A 39 1A5 FD AD 31 E6 AC 
E0 C6 10D 09 E1 51 A6 117 132 18B B2 4D 19C BB 56 20 F4 6B 195 AA 6C 5D 1F A5 
E4 D3 5C 4F FA 0B 96 14C 2B 144 05 C1 116 174 106 2C 172 8E DB D1 2D 17F CE 4E 
18 BA 10F 3B FF 17A 13A 2E 15A 105 48 DD C4 199 12C 18A B3 163 119 12D EB 139 C2 169 
177 6F 3F 136 D8 127 F0 149 0E 8C DF 14F 69 02 16F 1A8 19D B7 40 33 EF 3D 16D F6 
7E 17D 0C 1AF 9F 1D A4 156 1A1 3A 103 E7 15B 150 82 A8 FE 1A9 F3 16B 147 E9 1B 41 
B4 61 12F 0A 107 16C 6D 108 87 13D 181 9A 76 1E 42 10A 9C 43 8A CF 35 13F 7A 123 
1A0 B6 18E 22 7C 13B 49 171 157 4A 3C 16 E5 44 8F 14E D5 38 19A 45 64 121 E8 46 
18C 15C 19B 1C 9D A0 19F A2 14D C0 11F 12E B5 A3 184 06 125 F5 47 55 50 15D 152 16E 
D4 15E 95 176 54 1AC 128 80 166 12A 1AD 57 109 AE 198 182 DE 170 1A 65 E3 19 126 74 
13C 53 58 151 111 161 101 138 143 10C 66 01 8B D7 CD 0D 148 16A C5 24 37 167 E2 9B 
90 185 114 FC 75 7B 11E 134 D6 72 B0 97 4C 59 5B F8 BD 196 CA 5A DA C3 D9 77 
