24 18 10 10 10
137 16A 15B 139 147 10B 132 85 0A EF DA 1A CD 11 88 111 DF 24 66 10 126 68 188 9E 
4A 50 A7 78 162 97 0D 116 19A 95 138 C3 14A 129 38 83 1A6 177 142 15D CC D6 1A1 26 
194 163 183 2A E8 06 174 189 C9 08 6D E7 13 FB EE 159 E0 FF 1A5 136 140 16B 15 75 
43 9A EA A2 10C B8 D9 7C 127 44 8E 58 A8 104 1A2 13E 19C 198 12 16 17C 93 8C 16C 
3A 120 195 1A0 164 A0 48 13A 7E 156 74 18E 1AF F3 101 54 11F 35 160 04 DB 6E AE 7D 
91 13D 14D 179 8A FC 1C 3C D2 87 180 119 42 57 121 171 115 1A4 5A 15C 176 AF 2C 169 
100 4B BF D7 15E 1A7 30 49 152 92 106 17B 3E 1E 19F 6A 12D 184 2B 18D 165 14E 8B DD 
53 47 F8 103 E5 161 51 168 E4 5D 1D 114 0E B6 F1 90 11D 125 166 56 72 62 99 64 
86 10E A4 DE 151 23 69 C8 9D A1 19E 182 1F 77 E2 AD 117 15A 82 60 108 9F 122 6B 
1AC 39 172 197 0B 5F 124 13B 22 130 32 128 17E BD 9C 3D CE 63 CB 05 14F 3B 157 18C 
155 C0 BC 19B E6 11B 12C 11C 7F 31 199 1A3 1A8 10F BB 144 28 E1 73 01 191 105 33 B7 
10D 67 FE 81 1AA 110 21 AA E9 18B CF 150 4F 96 79 D8 89 02 17D 102 6F 65 19D C2 
F0 181 175 9B F4 12F FA 16D 17A F2 EB 12E 36 FD 45 13F 12A 59 27 149 F6 C4 113 BA 
1B B3 112 EC 11E 71 7B 34 5E 107 154 16F 8F 03 A9 4D 153 D3 134 B0 4C 167 C1 192 
D1 17 52 BE 25 19 118 145 146 1AB B1 80 17F B5 8D 37 E3 20 29 4E D0 A6 186 ED 
AB 84 170 F9 C7 00 6C 141 C5 193 187 76 A3 CA 98 D5 A5 7A 14 94 14B 148 F7 3F 
18 1A9 131 AC 2E 133 5B 10A C6 2D 1AD 123 40 16E 178 55 15F B2 185 B9 07 18A 11A 143 
70 DC 41 196 190 F5 18F B4 14C 61 D4 0C 12B 158 13C 5C 0F 173 135 09 109 1AE 46 2F 
