24 18 10 10 10
B5 03 2C B3 15C 19F 108 159 135 1AA FA 19B 19D 161 1AE 111 1D 16B 12E 9A 136 DC 19C 17D 
8E 4C 126 C9 B0 5F A1 1AC 92 1E 91 75 81 112 3A FD 122 34 CE 1AD B4 47 172 CC 
3F CB 147 141 98 C5 10E C6 DD 13C 59 12D 18 17F 35 02 162 F0 3D 14D 1A5 188 11B 102 
2D 5B 15A 6E 16E 164 C2 13D 96 148 E6 4F 190 173 137 104 123 D7 184 84 8C 41 2B CD 
17A 01 00 09 97 142 27 D3 6D A7 110 119 139 116 E4 15B FF 68 16D 51 107 46 49 0A 
170 F9 60 155 37 183 B8 83 134 BF 20 174 85 11F 146 90 E7 10F 17B 151 73 130 12A AC 
168 12C 19 145 1A4 71 10 100 1A6 38 131 B6 FC 5D DA 18F D2 32 2E 195 58 43 87 A0 
127 EC 17 EB 149 07 FE 56 11D 118 45 42 36 F3 8D 187 185 10D 160 1A3 120 125 16A 6C 
16 11C 88 152 08 30 167 E9 69 BA D4 D9 AF 72 BB 129 BC 23 B2 D1 EF 124 1AF 94 
140 61 153 189 3B 193 95 C7 15 14E 66 13E 177 11 179 54 6B 39 0C 29 F5 25 7F 04 
128 3C 14B 19A 8B 63 B7 1C 9D D8 1F 12F 6A A8 64 80 89 67 14A DF 33 18C 2A 178 
132 31 4E 0F 8F A6 16C 156 180 16F A3 B9 79 11A 14C 114 1A7 13 5A 11E 82 115 19E 74 
9F 52 15D E5 40 1A8 F4 A9 C1 26 1A9 165 101 BD 1A 6F EE 7B 150 50 12B 65 AE 8A 
E1 17E 53 2F CA 196 181 C0 86 F1 5C DB E3 9B DE 5E 198 77 18B 15E F2 ED F6 13A 
1B EA 158 E0 57 E2 1A1 E8 175 154 192 3E 138 166 10C CF 13B C8 F8 121 106 18D 12 24 
0D 62 44 9E 109 05 D5 78 D0 157 4A 143 A5 7A 0B 10B AD 4B 21 FB 133 0E 22 C4 
18A 99 BE 70 10A 176 194 186 13F 7C A4 17C 1AB C3 171 14 15F 197 28 F7 4D 1A2 191 76 
7D B1 D6 A2 182 1A0 06 AB 7E AA 144 9C 14F 169 105 117 18E 103 48 93 163 113 55 199 
