24 18 10 10 10
12B 1A8 68 16C D8 142 BB FE AA 12A 114 C3 F6 152 78 171 CB 17B 8B A4 80 180 A1 188 
54 62 17D 3F 28 03 E1 153 EF 24 16D 50 81 11F 131 AD DF 14F 49 1A4 D0 12 02 D6 
91 E2 D5 7E 158 18A B5 BE 149 8F 173 F4 31 154 134 D4 EA 175 4A DE EB 130 18C 100 
14D 99 2A 16F 4F 16B 1A9 104 53 69 1F 105 2B 5E C9 A5 19D C7 F8 E9 193 14B 19 55 
13B 9B 150 41 B6 F9 120 141 00 11B A9 18E 146 10B 192 172 1C C5 194 119 9D E0 70 A3 
121 7A 60 9A 3D A6 64 4E 190 13 F3 BF 22 2F 13E 94 11A 162 36 199 0C 7C 12E 143 
98 4B 182 CE 97 5C 0B BD B9 169 186 16A 139 155 35 AB 124 E5 1AC A8 178 77 D2 85 
A0 6E 160 18D 166 01 45 6D 15D 2E 140 15 D3 176 17 157 86 92 14 AE 4C 0A 44 6B 
1A7 0D 14A 11C BA C6 05 8C C2 FD 8A 74 07 B1 5D EC 1A 101 7F 6A 95 183 B7 33 
3E 127 103 87 25 5B 196 D7 195 1A3 163 B4 F1 67 06 12D 10D 1AB 191 C8 189 137 63 12F 
115 46 5F B8 E4 73 52 08 F2 1D 15F 58 29 128 1B 21 19E 1A0 CC 106 129 6F 144 147 
13C 174 187 39 102 84 165 79 198 9C 19F 42 159 38 164 71 8E 177 10 FB 1AF 16E D1 C1 
DD 1A5 110 113 148 40 197 13A AC 132 7D 83 11D 93 0E 10C 118 AF BC 65 112 96 34 14C 
E6 109 26 DA 13F 117 1A1 66 76 18B 14E 16 1AA 56 48 13D ED B3 19B 4D 107 136 168 122 
D9 10A 138 04 DB 10E 11 30 12C 19C 51 19A C0 32 37 FF 116 1AE 72 17F F5 108 20 18F 
17E 1E 15C 8D 133 B2 E3 151 A2 126 57 10F 184 125 156 3C 9F 89 CA F0 E8 7B 3B 17A 
E7 145 170 FA 15B A7 27 88 17C C4 11E 135 6C 9E 161 DC 0F FC 1AD 82 2D 5A 75 B0 
1A2 18 59 CF F7 CD 90 1A6 61 3A 15A 185 23 EE 181 111 47 2C 43 179 15E 123 09 167 
