24 18 10 10 10
137 35 11E 15E 14B 180 21 51 14D 12F 126 C8 94 116 15 47 16F A8 AA D5 5C 14 108 153 
115 5E E6 10C B6 E9 F8 173 19A 2C 151 15A 98 147 2B 0D E1 C4 5A 00 2A F3 158 149 
C5 1AC 12C E0 15B 18A D9 A9 18C 79 1A4 25 9D D7 4D 1F ED 15F A0 76 DA 61 17D BE 
E7 97 16C 1AB 13E 70 17 114 10D F7 55 C7 198 4A 54 29 8B 189 109 139 1C BF 1A8 A5 
6F 11B 19D 13D 156 83 1A6 CA 140 95 117 A3 EE 194 FF 172 42 1A 03 135 11A 63 84 18D 
142 75 BB 185 166 4B DD D2 11C 7F 19E A6 BA 68 10F B5 8F 145 44 9E CD AC 191 1AE 
57 9A 07 58 19 09 DC 30 C2 19F 66 37 4E 179 6B 92 43 184 7B 8A A7 50 123 106 
163 C9 18 59 B9 13B 1A0 90 E2 73 162 46 AF 49 120 167 89 196 1B 121 0B 13 10B 17C 
D8 144 52 175 BD 164 F5 48 AB 7C 34 16 111 143 14C 12D 81 12B CE 112 96 130 118 193 
160 3A 136 EA 19C 13A D0 1AA DB 199 67 190 19B 5D 165 C6 C0 16B E8 3F 1A9 10A 86 EF 
146 122 4C 17E 3E FD 15C 150 31 127 17B 12 FA 178 133 99 128 45 A1 186 1AD 1A7 B7 6E 
195 16A EC 53 08 100 124 06 82 102 168 113 159 7E FB 1A1 22 3B 3D B8 BC 105 6A D1 
EB 1A5 65 177 AD 0A 02 16E 04 01 13F E3 33 161 1D 14F A2 1A2 14E 05 E5 62 119 138 
85 27 F1 169 80 D3 F6 8D 7A 132 12E 188 91 157 17F 2F 74 36 20 B1 D6 15D DE 12A 
5B 3C DF 16D 7D 72 F9 F2 B2 32 26 8E F0 18F 71 93 11 141 0C 9F 88 0E 41 129 
110 192 24 A4 FC 39 10 C3 8C 18E 10E 87 9B 78 64 182 14A 69 1E 131 B0 B4 13C 197 
AE 181 77 38 CC 183 155 1A3 170 6D 2D 56 11D C1 CF 2E D4 11F 5F CB 152 4F 40 134 
E4 0F B3 125 F4 28 18B 1AF 104 60 101 23 17A 9C 174 187 171 154 148 6C FE 176 107 103 
