24 18 10 10 10
62 178 108 15 59 76 183 196 1B 167 50 E1 134 C9 35 14A C8 158 05 99 19B 17D 33 8D 
A7 7F 2B D2 13 9A 111 57 02 165 EF B6 15D 18 CC 00 133 2D 125 AD 4B 6A 6F 55 
8E 37 181 160 1E 48 49 1A8 6C 44 17 123 131 5F 31 137 9E 147 08 16B 135 18A 18C E8 
113 11A 7B 1AB 122 17E 173 138 189 1A2 F7 182 69 185 A8 B2 142 F4 109 68 E9 195 78 DF 
1C B0 10B 10 190 A9 E0 4E 6B 1A3 3F 63 73 170 96 129 ED 16A 25 C0 BC 105 115 102 
A0 11E 11 116 39 193 184 DD 1A9 188 AB 3A 2A 198 41 3B 3E 16F 19C 6E 153 E3 82 9D 
1A4 110 4A 16D 19 199 1AC 0B BB 66 28 186 149 4F C6 15C C1 29 30 168 04 32 16E 4C 
14C 14E 1AA 152 52 180 AF 162 CF 7D 56 120 12 8F 67 16 BD 104 1F F1 10E 58 74 BE 
FE 38 42 11D 21 EE 136 197 9C 172 127 6D 86 144 1D AC A6 5A DB B9 81 12F 126 B4 
91 65 AE 2F 64 140 BF FA 179 117 139 60 90 13D 51 47 93 E6 B7 89 EA 148 187 D5 
15F A4 F2 1AD 0F 34 8C 8B 1AE 43 14 19F 54 107 146 143 101 E2 20 45 FB 18D FC 40 
88 7E C2 13B 7A 79 19A 194 0D 36 124 3D EC 10D 9B 15E D9 14B 112 12A 169 D7 12B 23 
132 2E 92 5D F8 AA 5B DC F0 161 155 13F 118 1A6 145 121 75 17C E4 18F 151 77 141 94 
12D 175 F9 9F 15A 14D 98 10A E5 E7 1A7 26 12C C5 D3 72 CB 95 D4 FD 1A0 71 EB 07 
103 A1 157 19E F3 114 D6 97 CD D1 C7 119 1A5 1A1 130 150 1AF 61 CE 46 1A 4D 19D 03 
17B 22 174 17A FF 164 10C C3 11F 5E 13E DA 13A 17F 84 16C 171 100 D0 0A A3 177 154 156 
2C F6 87 85 11B 27 24 BA C4 A5 18B 192 12E 15B 09 80 166 163 B8 F5 0E 14F 7C 01 
A2 06 3C 0C 8A 11C D8 70 B3 159 B1 191 106 176 53 13C 128 83 B5 DE CA 10F 18E 5C 
