14 14 10 10 10
20 CB 33 43 69 B1 22 0C 30 DB 68 53 6B 4D 
CC 06 46 61 B4 18 D7 7C 66 79 3D 2B 67 70 
BA 58 57 2C D6 90 9A 71 B5 48 03 49 2A 37 
28 5D C9 76 21 50 C3 59 98 60 B2 82 B8 74 
D2 84 12 07 B7 A1 A6 D0 19 D3 BC 16 AB 81 
A5 26 1B 97 B6 55 09 78 0D 95 62 92 BD 1C 
42 44 31 96 C5 6D C1 41 1D 7A A2 D5 9B 27 
08 15 A4 DD 51 AC 38 C2 63 39 02 4A 87 94 
80 2D C6 B3 CA 29 01 88 93 AA 5C DC CD B9 
8A 32 40 3B 5A 86 85 6A 6C 72 0A 04 8C 10 
A0 D9 91 C8 8B 9D 0B A7 A8 83 1A A3 C4 9C 
24 D8 C0 C7 BB 56 7D 52 00 23 AD 75 3A 45 
4B B0 5B 36 54 65 D1 25 DA 7B 05 99 17 77 
A9 3C 4C 11 35 73 64 14 89 13 34 47 8D D4 
