14 14 10 10 10
64 73 C9 A7 14 35 8C 02 C0 CD 26 AC 69 0C 
07 B4 56 00 61 50 C2 D0 4D 3C 7B 49 B6 33 
8A 96 C6 9C 80 79 9B 65 54 B1 46 08 63 C7 
83 6C 7A 77 38 98 13 04 AD 81 8D D2 AB A0 
70 A3 24 CC 74 BB 82 62 78 9D 05 57 C1 97 
B0 39 87 B9 6B B2 95 86 2B 7D D7 D3 D1 23 
89 37 58 90 52 72 36 D4 BD C4 40 5D A6 1C 
43 C5 41 5A 3D 8B CB A9 1D 0A 6A 91 51 53 
AA A2 18 11 DA 31 48 A1 09 5C 7C 60 D5 0D 
4B 03 A8 5B 27 BC D9 32 85 75 92 B3 66 93 
21 30 44 84 9A 67 DB 10 A5 4A 0B 3B 42 88 
22 06 68 1B 28 4C 2A 94 19 BA 45 1A B7 34 
47 C8 29 B5 A4 99 15 01 3A 55 DC 16 D8 C3 
76 DD 2C 59 71 25 6D 12 D6 17 B8 20 CA 2D 
