14 14 10 10 10
D7 15 5B B6 C8 6C 32 27 68 93 00 30 54 71 
78 5A 18 CA C3 57 9A 02 03 26 74 8C 05 B8 
06 83 76 3D 81 B3 99 88 07 CD 5C 96 D9 AC 
CB 85 67 BC 48 86 3B 42 41 B0 A5 C4 29 79 
24 C5 8D 90 BA DB A1 4A 08 DD 56 50 63 09 
0A 72 BD C1 31 C6 B9 35 7C 20 80 A2 8B 01 
6D 2A A8 14 45 A7 D3 37 62 A4 7D B1 10 28 
B5 3C D6 0B 34 51 75 AD 92 60 46 0C 2C 21 
0D 65 52 43 B7 89 82 A6 D8 B2 22 66 19 B4 
AA 8A 9B 73 A0 BB D5 1A 7A 47 DA 97 1B 36 
C7 94 4D D1 91 23 58 C2 95 9D 9C 5D 98 D2 
16 64 7B 87 17 6A DC 4B A9 13 69 84 C9 A3 
6B 1C 25 53 59 33 49 38 77 D0 AB 4C 2B 04 
1D 55 3A 44 D4 12 61 C0 39 CC 40 2D 70 11 
