14 14 10 10 10
CC D8 4C 5B 35 DA 73 51 C8 1D A3 25 A4 3A 
B1 30 74 26 11 14 2D 59 53 99 A0 DB 17 B0 
C1 5A 8C 96 56 22 6C 2C 82 A1 0D B9 8D CD 
C9 54 76 98 39 89 58 47 01 6A 9A 03 7C 24 
41 D4 85 70 B3 91 7B 45 00 2B D9 62 D2 92 
CB 9B 4B 71 C0 5D 08 04 69 65 95 18 19 77 
07 06 DD AC 5C 16 86 D3 7A 31 A6 2A 44 66 
A9 B5 D0 A8 27 D1 09 90 40 B6 C4 0B 8B 8A 
75 80 BA 29 49 72 33 3C 9D 28 C5 A7 88 93 
B8 DC 48 81 C3 0A D5 CA 10 B7 6D 0C 83 4A 
13 D6 AA 87 42 57 63 78 B4 32 05 46 37 9C 
BC 60 50 55 15 38 1B 79 C2 20 1C 3D A5 21 
02 AB 34 AD B2 4D A2 C6 68 43 94 3B 1A 7D 
23 84 12 D7 C7 BB BD 67 61 97 36 64 52 6B 
