14 14 10 10 10
35 90 72 D1 0A 22 66 31 1D 91 D3 60 5B AD 
28 B2 56 AC 95 B3 11 40 97 14 41 96 34 27 
64 69 9B 15 46 C0 B1 20 C3 53 9A 8C A0 58 
1A 45 36 70 74 54 98 55 D0 C6 A1 88 BC CC 
7B 05 42 06 76 87 29 73 9C 19 C8 A4 BB 18 
23 B6 50 48 A5 8A 65 CD B7 26 44 43 B4 24 
3B 67 38 4B B9 BA 17 4D 09 83 47 52 80 D9 
5C 0C 6A A7 04 94 AA 01 71 9D 59 7D 03 6D 
49 D2 92 61 C9 D4 A2 16 DB 84 C1 8D 2B B5 
DA 1C A8 0D C4 C5 A3 02 85 6C B0 D7 75 DD 
7A 51 3A 4C 63 A9 1B 78 A6 39 C2 79 81 99 
08 21 D6 86 4A 10 7C 07 2C 82 5D CB 12 93 
33 57 3D AB B8 DC 68 77 89 3C 2A 2D 30 8B 
62 37 00 0B 32 5A 13 25 BD 6B D5 D8 CA C7 
