14 14 10 10 10
5B B9 29 D9 52 76 DC 0B BB D3 75 B2 18 63 
25 24 30 38 51 B1 48 8B 5D 03 97 12 59 AA 
81 32 47 83 3C 94 11 73 02 A7 8A C6 C2 41 
1A 01 A9 2D 1C 9B 3B 0C 35 13 79 9D 7A 74 
82 C8 CC CA 19 D7 B0 C1 A0 0A 78 2A 20 50 
6C 0D 08 4C 58 40 15 00 C9 DA 23 5C 69 33 
55 B4 57 86 4A BA CD 5A A3 7C 87 6D B8 4D 
B7 90 9A A5 88 53 B6 56 43 64 27 D1 68 91 
06 54 72 28 BD AC D5 A6 98 A8 DB 70 9C 14 
CB 65 C4 C5 4B A1 44 2B DD 10 71 85 3D 1B 
C3 93 17 77 7B C7 6A A2 B3 6B 26 61 D8 A4 
05 AD 84 B5 04 21 16 7D 67 D6 D2 66 60 96 
AB 46 07 C0 92 8D 80 31 D4 1D 49 99 95 36 
3A 34 09 22 62 89 2C 39 8C 45 BC 42 37 D0 
