14 14 10 10 10
3A B6 94 57 08 0C 86 40 A9 25 51 83 13 26 
C2 63 B5 BB 16 30 04 35 74 2B 03 C4 02 D4 
66 85 C9 1C 12 07 C3 42 CA 23 32 17 95 BC 
DA D1 C8 93 3C 4D 22 75 B7 6A 55 CD A2 9A 
27 7A 5B 8C A5 3D 67 47 01 14 44 21 90 4B 
53 36 11 84 0B B0 58 DB 52 87 1B 8B 59 C5 
A4 92 18 69 4A B2 A6 78 AB 34 71 B8 72 8D 
6C 09 7B 48 81 79 D7 43 DC 5C 10 80 70 19 
D9 1D 99 D2 82 9D 68 9C C7 65 60 77 28 15 
0A B1 89 00 5A 88 BD 3B 4C 6B 33 62 97 7D 
06 50 CC A1 B9 37 39 2C AA 41 7C AC 05 1A 
A7 D8 2D 2A B3 CB 24 D6 46 C0 6D 9B D5 29 
73 BA 54 96 64 49 AD B4 A8 8A 91 A0 5D 76 
20 C6 31 98 A3 56 0D 45 DD 61 D3 C1 38 D0 
