14 14 10 10 10
D9 BD 62 49 43 02 03 34 04 BA 20 60 4D 3D 
A7 64 9D 93 D1 11 98 88 79 8D 50 89 7C 40 
75 B3 A6 AA 2D 45 90 C4 91 B5 05 67 AC 76 
DB 41 86 39 82 69 00 06 D6 1D 72 B9 BC B1 
44 42 1C 07 52 1A 7A 8A DD AD 78 D2 B0 5A 
4C 5B D8 30 CB 8C C8 A1 51 56 DC 9C C3 6D 
C6 08 09 70 63 2B 10 5C 47 65 3C A0 D7 C5 
D5 0A 58 0B 4A 9A D4 2C CC 9B 0C B4 0D 97 
92 80 13 C7 4B 53 74 48 71 83 A9 59 14 6A 
15 85 61 73 66 3A CA C9 35 16 7B 23 77 5D 
DA 6B 68 17 1B C0 18 B6 A4 33 6C B2 94 7D 
81 AB 32 A5 3B C2 C1 A3 D0 22 19 87 57 24 
25 84 26 31 38 46 B8 55 27 54 28 B7 29 12 
D3 8B BB 21 CD 01 36 A2 99 2A 96 95 A8 37 
