14 14 10 10 10
00 62 01 43 A3 A5 D1 9A 02 5D DD 85 B9 D7 
03 CD 04 05 06 C4 07 75 BC A8 08 5C 50 09 
C3 0A 0B 56 BB 93 A1 4A 0C 84 C7 0D C6 97 
70 10 B0 90 71 A6 B3 5A 55 11 12 72 13 DA 
14 99 5B 66 B1 15 45 D6 CC B6 C5 87 63 89 
7C 80 16 17 D5 D9 18 AB 77 48 D0 65 19 C9 
1A 1B 1C 8B 6A 6C 1D 76 D3 20 21 A4 22 23 
81 D8 88 24 A0 9B 95 25 8A 53 69 86 54 DB 
D4 26 AA A2 6B 27 47 28 29 58 2A A7 B7 7A 
78 C1 2B 2C 2D 30 31 32 D2 A9 74 AC 7B 35 
92 91 BA 4B 64 73 7D 67 44 33 CB 34 49 8C 
C0 68 83 59 36 79 37 38 39 B5 B2 40 57 3A 
C2 9D 98 6D 3B 46 82 51 9C 96 B8 61 60 3C 
BD 3D 41 B4 52 8D AD C8 42 94 DC 4C 4D CA 
