14 14 10 10 10
D4 89 3D D1 CC 5D D9 53 5B DC 49 B2 7C 4B 
1B 94 C7 B3 13 99 C5 BA 25 05 16 03 C8 92 
14 72 3B 43 6A A7 2A 9D 04 DA CB 1D A6 90 
85 01 46 63 29 67 44 95 81 AA 12 97 00 AC 
0D 45 96 6D 36 80 D2 5A 24 33 65 39 9B B0 
10 59 D7 8D B6 4C 21 68 08 41 23 2D 78 AB 
A4 47 C9 8C B5 B1 1C 66 9A 18 40 83 86 17 
62 91 D3 50 69 20 98 55 0B C3 A0 DD 26 A8 
11 0A 7A A1 C4 9C D8 2C 74 52 22 34 28 D0 
3C D6 1A 70 54 C6 B4 82 C1 8B 15 48 42 84 
07 87 A5 19 AD 4D 30 88 BC 09 06 BB 71 A2 
DB 38 A9 2B 7D 64 57 C0 93 31 6C BD B9 51 
7B 75 8A 79 77 A3 58 73 60 D5 6B 35 76 CD 
32 0C CA 37 61 02 27 56 3A B7 5C 4A C2 B8 
