14 14 10 10 10
0A 3D 21 2A DC 30 23 08 57 D4 36 82 11 A6 
0D 81 4D 79 A2 15 D2 39 85 CC 77 4C 5A 1D 
8C A7 D5 50 B2 9D B1 9B 7D D7 BD AC 87 9C 
2D A1 A5 8B C1 D1 64 AA 12 90 55 40 16 D3 
71 52 99 BA B9 0B B4 1A D6 1B 45 DD 65 18 
A8 D0 20 DB 46 6A 66 B0 73 CD BB BC 93 9A 
84 6D 78 8D 19 33 91 67 62 59 96 6B 68 7B 
32 37 3C 0C 98 53 97 04 5B 7C 74 95 07 B5 
28 00 7A AB 6C 29 17 47 3B 92 3A 42 B7 34 
83 26 5D 48 01 DA 06 4B 51 63 2B A4 A3 94 
58 61 75 09 89 A0 C3 25 C8 14 C5 4A C7 5C 
86 C4 24 44 88 76 2C 02 38 D8 8A CA C0 03 
80 B3 B6 43 C6 C2 56 13 60 D9 C9 69 70 05 
10 49 22 AD CB A9 72 27 54 41 35 1C B8 31 
