14 14 10 10 10
08 49 65 2C 20 74 41 A3 AC 6B 68 B2 57 A4 
7A 45 C2 B1 BD 39 01 8D BA 7B B4 05 DA 1D 
CA 4D DC B3 B5 35 88 AD 29 D9 B7 80 02 9B 
06 7D B0 63 A1 7C 0A 8B 24 BB A8 D2 2B 12 
34 2A 6C 5C 86 04 77 C6 C1 83 59 A9 62 5B 
82 61 42 DB C7 98 BC 43 B9 17 2D 51 31 09 
8A 6D 66 91 CB B6 64 72 C9 90 1B 11 D6 15 
A6 A7 71 3A 53 78 50 3D 38 95 87 75 23 D0 
73 46 92 76 0D D3 89 69 14 94 9D D5 D7 84 
8C 0B CD C4 9C C3 28 99 19 4B 56 D1 16 5A 
18 36 32 60 DD 26 A0 D4 67 13 97 93 52 00 
AA 5D 1C 37 85 AB 40 CC 27 55 C0 A5 C5 96 
44 10 1A 30 4C 9A 03 25 6A 3B 58 21 B8 70 
4A 33 47 D8 A2 07 48 79 0C C8 81 3C 54 22 
