14 14 10 10 10
74 73 38 06 C1 82 98 AD 09 71 18 42 52 79 
07 BC 3D D0 CC 7A C8 48 AA 88 19 D6 22 21 
45 B0 72 64 81 B1 84 C4 B8 76 14 61 87 A2 
69 8B A4 6B 67 7D 51 17 9C 77 4A 28 B3 5D 
DA 95 1C 03 BB B6 20 31 C3 BA 13 70 6C B9 
7B 50 68 32 AC AB 9D 29 A1 34 2C 36 75 46 
A5 CD 0D 93 47 53 B2 65 41 D8 5B A7 11 C6 
A6 96 5A 56 B5 DB A0 10 43 D4 99 3A 89 23 
1D 4C 55 57 26 90 B7 2D CB 4B 08 15 D9 C5 
6A A9 85 D5 00 5C DD 8A 39 59 12 6D 0A A3 
C2 4D 37 97 04 78 7C D2 92 80 01 25 58 35 
27 91 9A C7 0B 60 49 C0 02 94 8D D7 9B 1A 
DC 66 8C A8 62 40 24 B4 1B 44 BD 16 3B 33 
2B 63 30 0C CA 2A 54 3C C9 86 83 D1 D3 05 
