48 36 10 10 10
286 4B0 364 1F8 1A 21F 2A0 6B0 55A 60F 537 8F 2CF 10A 3C2 2A 6A7 657 28F 4E4 A5 35E 5C8 16E 27A 549 578 AE 5CD 31E 3D1 60 219 3F0 12B 463 36 AF 383 47 123 632 AD 03 43D 53C 144 5D 
2F5 4D 394 19A 2AA B7 1CF 220 6BB 2A2 5E6 2C4 1E6 22E 288 501 5EF 4F7 4CD 1A9 615 3D0 E0 43 F5 2C7 331 5F8 AC 43F 65C 23D 26C 529 2B3 4A6 105 1FD 2D8 416 69A 1BF 662 5E3 54C 43B 3C FD 
277 3B3 476 514 676 639 3C0 494 621 179 24E 5CB 29B 71 617 5FA 271 677 63E 470 633 3BD 367 574 1E1 20C 492 264 651 565 4C4 24F 4E0 653 303 603 4B1 B0 4AA 619 44E 399 39E 237 332 473 250 59F 
5DC 18A 110 1C9 1CE 2C2 4FD 52D 6A5 5A3 4C3 569 272 646 2A7 53F 229 2BE EC 13A 3A4 575 318 465 4EC 484 2C9 491 5CE 626 11D 4AD 528 4BB 43A 5D3 11A 2F 627 5DE 4C6 196 337 3D9 462 671 F9 253 
28D 1F2 354 3A8 138 317 386 D9 58C 527 4B6 169 647 353 2E7 2E8 310 5FF 69C 15D 107 1E7 136 5B7 648 10D 44A 66B 1FA A3 452 48C 78 6A1 3D4 190 66C 5AF 681 1AF 404 326 543 4D5 C0 45A 461 2C0 
281 6BD 312 4B9 5B6 46C 188 301 424 37A 19C 66D 245 1D4 573 536 161 44D 120 2AF E4 672 57B 393 10B 2D 6A2 4D6 596 620 1B2 5C0 684 46 445 422 419 28A 34E 60C 517 360 342 139 4CC 469 3E4 82 
553 226 00 47E 195 73 B5 244 531 41 109 489 E6 59D 3EA 235 3AD 523 4E6 57F 61A 25F 579 69E 487 6AE 174 3D5 692 3A1 ED 2B4 358 380 2AC 1F0 5AC 233 4B2 309 54E 20D 4E 61E 35C 52 158 4D3 
5BE 280 3C5 4A7 EE 322 2A5 53B 5EB 298 5F3 52C 6AC 22B 165 E2 69 4B7 2C5 3F9 156 665 205 4FE 19F 89 36C 3AF 5E2 193 4B5 231 39A 67D 48A 392 146 283 4EA 545 61F 55D CF 6B8 485 297 3B4 58F 
16A 4FF 61 688 1A8 6A0 58 6B2 29C 52B 373 5BD 556 629 655 BA 5FC 624 372 5E8 27E 6BC 10F 204 11 278 157 1C8 1F7 19 2F3 1EF 1FF 61D 4FA 38C 64A B3 21A 1C0 652 5E1 23B 44C D2 366 26F 293 
36D 12A 1B4 23 4AC 1FB 597 177 F0 194 3F7 405 5F6 3CF 43C 660 544 5A8 49E 14A 564 506 152 495 5A9 D8 4B 13D 683 23C 230 295 5FD 3FC 3F2 3A6 496 5ED 497 30A 291 10C 34B 262 568 3B7 FA 471 
313 580 206 567 38E 306 1AB 525 70 441 388 52A 140 348 07 4D0 486 1D9 428 A4 28 3C6 351 1D7 1DC 400 17 5C6 2B2 2FE 2E0 50E AA 6D 01 637 21B 02 601 48 606 44F 75 1D6 3CE 587 31A EF 
