48 36 10 10 10
642 429 364 1CE 00 304 5AC 395 D9 46A 1EE 5A5 521 6BD 42F 01 439 47A 5B5 153 488 1F8 1F4 63A 196 02 372 6BB 4DB 524 3A0 C1 29E 10C 03 139 608 04 37F 3E4 A2 666 523 05 4DA 06 4CF 548 
07 601 203 22E 08 20A 449 1B8 510 134 655 389 5CA 3E0 335 57B 1D1 3F6 544 358 09 15F 37D 626 184 1B6 5B4 0A 3A2 C4 2FE 2BA 259 323 3C3 609 2F1 0B 0C 52C 69E 633 2F6 131 0D DB 6F 2E7 
0E 606 4B4 283 5A3 469 4F0 5D7 0F 2DB 315 4E1 34B 38C 303 235 10 253 178 2E4 40A 11 180 677 1E6 12 4A3 26A 38E 2EE 45B 31A 13 5CB 214 417 23E 14 174 616 464 15 1E8 533 35A 128 59C 685 
107 33A 2AD 16 411 17 28B 18 690 29B 2A8 5A9 1DA 227 644 530 20C 19 129 410 4FA 683 2C9 662 237 53B 5A1 207 2EC 2BC 179 1A 1B 34D 1A1 249 4F2 49F 5CC 5EB 1C 1D 25D 377 1E 4CB 3ED 48D 
3F9 27F 13B 1F 20 317 3DB 49C 2A5 526 20E 160 4FC 21 614 691 22 F0 5C3 51A 1B9 21D 132 23 67F 24 2AE 2D6 3EF 5FF 2C4 295 1BB 264 380 2D9 569 2BE 3AC 17B 480 467 2F5 64D 51C 2E0 55E 21C 
25 1CD 58B 275 4B9 26 27 59F 32F 127 229 559 32D 420 5A0 6AD 373 353 28 3BB 604 49B 33F 29 408 575 300 3CD 3E2 5D4 1BF 649 415 6A5 2D4 39A 232 50A 5D5 1AB 4BE 26E 5B6 56E 2A 24B 143 2B 
2C 2D 2B1 170 68C 2E1 2E 41E 16B 35C 2F 4AB 1F9 4D8 171 441 4A7 50B 30E 541 5A7 204 30 3E6 F9 27C FB 2DC 106 350 31 379 2EA 299 242 3D1 4CA 1FE 4E7 206 C0 125 5CE 267 272 32 33 34 
27E 636 166 69D 25C F3 328 1C9 617 37 38 1B7 39 466 109 2B6 3A 418 687 53F 3B 1F6 41C F7 35B 3C 137 497 661 64C 5CF 308 356 2CB 1F2 4EC 1DF 6A7 12F 101 41D 465 62A 37C 384 2EB 588 5E4 
45F 1B0 2F4 50C 611 3AA 5B1 38A 285 4D2 29C 599 4BC 155 5DE 597 3D 3C8 442 3E 1D3 4A5 2CD 562 56C 36D 553 238 3F 19F CB 54F 659 378 40 103 32A 585 34A AB 41 37B 422 1F0 22D 2ED 3BC 25E 
4B3 689 6B2 255 FA 65 555 42 51F 2D7 43 342 1AA 590 1E7 D0 44 1FF F5 2A1 18E 40F 294 55D 579 2A7 2CC 431 42D 254 51D 5C9 3B5 468 15C 223 6AF 45 60A 46 1CF 5D0 3D2 209 A7 20F 4C2 423 
45C 574 6B0 542 3D4 376 664 31F 47 4E0 48 15B 62E 434 49 349 3F0 4EB 66 44C 291 251 313 2DA 2DF 4C0 61D 2A0 46C C6 5A6 309 682 1C7 6A4 273 19A FE 56B 35D 1A9 4A 5BD 4D5 357 5D3 3D7 4DF 
