48 36 10 10 10
2F0 4C0 677 176 2E6 1E3 1EF 17F 51A 06 2EC 2E3 449 264 5B3 390 662 32D 26A 697 4F5 5E6 481 30E 07 346 5AA 685 5FD 34A 6A0 08 126 211 400 14A 6A8 5A2 3F7 09 17E 1E2 225 61E 1E1 3B3 641 555 
240 62B 0A 394 4C2 125 67C 2B2 55B 0B 67F 221 0C 682 5C8 20F EF 575 0D 342 442 232 0E 3E5 4BE 477 0F 10 356 2A7 303 3D3 544 11 2F5 3AF 1B4 415 545 5FC 35A 15C 122 12 13 14C 36A 1E5 
676 3F6 54F 5EE 339 3D0 2ED 24D 694 4D0 511 250 14 153 15 4A4 4D6 66A C5 16 37D 1DF 17 17D 5B4 1BA 58D 53D 18 62F 19 159 1A 283 14B 271 3D5 414 648 180 616 46E 46A 1B 3FC 150 2AC 1C 
4FA 68D 3E1 5BA 605 183 510 372 488 263 E7 406 277 457 3AE 5DE 4CD 495 661 4DE 34E 265 35D 280 1D 1E 4F3 42F 531 3DE 3C1 3C6 1F 504 116 295 547 20 438 2AF 158 40D 21 2E2 642 BD 61 336 
644 680 546 22 33D 485 3FB 593 23 3B0 49B 422 3B5 24 552 1D5 338 203 669 25 1BE 121 26 447 625 409 27 2CB 1B2 577 43F 33C 357 28 311 5A0 1AD 68C 285 2C1 F4 507 29 3C9 576 2A 4EF 653 
204 5A4 3EC 426 181 58C 557 58F F1 2B 5C2 598 635 2C 290 579 1E8 2D 2E 460 4FC 4C3 1D4 2F 2C6 35F 5B1 35E 57F 60 5FE 597 3E3 53E 156 38C 67E 645 54A 2B3 219 36 4EC 201 11C ED 37 666 
38 328 282 2AE 39 2C0 3A 404 451 3B 6A3 3C 2E1 3D 44D 5C7 650 3E 691 508 3F 6A5 1F6 5D1 1B3 40 567 5A5 353 22F EC 41 3DD 327 42 54C 37F 43 309 02 5F3 1B7 397 B8 33B 427 5E5 238 
31C 6BC 29F 3C5 2B0 1A5 124 37C 44 45 00 46 599 3C7 3A6 665 47 647 48 202 44B 320 2A6 49 609 4B8 2DB 611 4A5 29A 4A 4B 55C 480 3BA 678 582 5D7 4C 323 4D 572 4F2 114 4E 4F6 28A 93 
3BF C4 222 48C 4F 214 67A 244 5F7 4C4 5B8 E4 50 6B8 419 453 51 187 25C 6B7 1AE 332 630 2DC 472 3ED 52 3E9 1DB 205 BF 1AF 58B 456 53 54 55D 55 56 27A 321 5CD 637 4BD 3F0 266 64E 5CA 
51D 261 4FB 270 2D1 550 57 402 362 56E 55E 115 60C E9 58 59 429 5D0 5A 5D5 3B4 68E 38B 3D7 626 5E1 3A5 28F 318 681 57D BC 6B1 2B8 5B 39B 62D 568 3E6 1A7 61F 58E 251 149 3C8 4AC 4EE 463 
408 36E 602 96 613 B3 5C 695 5D 301 04 50A 1DC 18A 2E5 65C 5E 2C7 C6 324 28B 4FE 252 50E 5F 24E 6AD 28D F0 542 47F 119 387 3EF 210 64 418 65 462 66 67 4A6 34 6B5 14E 5D3 24F 4BF 
