48 36 10 10 10
357 34 257 60C 11D 52C 637 69A FD 4BF 14C 95 413 11E 68F 2AE 139 E6 142 3DA 676 45B 4AC 1A2 17A 587 6B6 101 144 2FB 162 3FB 224 7E 445 5A1 4F5 4F9 24B 4EA 512 416 628 405 261 19E 5C6 6B7 
5B1 35F 51D 6A6 156 61D 54A 23B 681 5CA 5D0 4E4 167 180 5DF 119 58B 32A 222 254 189 D7 00 12A C3 556 683 1C4 4DC 4F1 52F 629 1FF 204 AE ED 1F5 241 B4 3FE 613 5E0 360 2D4 577 44B C9 E8 
6F 36C 584 195 34F 1E1 5AB 394 592 642 2A0 11B 440 46E 3D8 132 4AE 5B3 56C 200 17B 355 177 3EE 3E7 201 2E1 45 461 329 173 47A 66E 30C 498 307 54F 271 69 696 675 409 64F 398 30A 343 40 582 
38E 1AE 32D 40B 4B8 1A4 106 E4 1B 64B 171 28A 2BC 467 66 4FE 59A 690 51F 399 614 3E9 67F 4E0 3EC A9 21F 194 600 64D 518 1B5 2F9 46 555 69F 71 60F 1EE 3C1 56A 59F 529 523 2AA C5 53D 1D6 
531 57D 3CB 16F 232 667 324 32F 64C 561 13C B8 DB F0 B2 4DF 193 444 159 82 3F9 235 47F 6A3 1FB AB 7F 567 DF 412 42B 503 29C 28B CB 376 43D 406 227 337 09 443 145 53C 392 4A1 243 53B 
62F 68A 634 442 345 431 3EA 17E 5C1 5F1 478 3BB 244 60 586 580 3AB 12 27C 234 534 63C 118 226 38D FC 5B9 231 45C 521 367 2DB 3E6 A7 320 18E 377 32 52D 233 78 25C 5D6 65A 9A 520 593 35D 
3A4 6D 1AF 23A 6AE C4 104 589 3CA 2D9 185 27D 3F5 242 558 19D 1C 3A3 130 55B 1D8 3B3 673 4C0 287 60A 4E2 4EF 13D 0F 5B 182 31 31F 507 168 4D3 37B 25D 13 1A 236 5BB 528 21E 65B 3E0 278 
2D 16A 51 157 154 3F2 572 5D2 452 4B0 4DD 2EA 52A 1E7 D8 6A8 5F2 428 54C 125 361 55C 680 610 1E3 54B 4C1 3BF 44D 3D7 D2 219 385 AA 3C 66A 3AF 527 579 22A 24C 2E5 2CE 5AD 25E 117 8A 323 
169 2E4 263 45F 619 318 1AD 674 5E9 40A 3D0 517 553 39C 183 5A9 33A 51B 677 505 262 5D9 50C 115 2DD 68E 1DF 1C5 374 420 5FA 59D 14F 45D 563 372 547 6B 90 5E4 199 9E CC 6AD 439 2ED EF 695 
573 37E 650 CE 50A 459 462 206 3C5 22 542 75 4B4 612 566 4D4 685 362 449 27B 4D0 570 281 1FE 258 4A6 319 664 15A 4C9 447 646 5CE 2F5 2A3 1B7 4C6 10A 44C 24A 1C7 656 644 482 371 606 308 49 
217 2BE 153 37F 5AF E0 40F 348 210 47E 8D 1AC 349 1EC 33D 49A 2DC 615 45E 4DB 341 4A5 68C 299 4B2 2CF 10C 1ED 22F 448 46A 435 63D 2AC 49E 1D5 225 3B0 2C 29E 65D 2C9 34A 1F0 61C 495 546 5CC 
248 3F 689 38B 557 21A 465 4AB 3AE 135 5FF 4A0 7C 353 1A6 D3 11A 3D 1C1 6A5 1D4 292 2A9 43E 5CD 526 688 B1 18A 4B B5 314 321 14 4FB 53F 638 72 326 6B5 3D2 06 4C7 147 1EA 494 441 39B 
124 96 17D 631 1F6 2CC 250 4B5 13A 5A2 181 4D 246 15B 539 578 F5 1EF 3A5 350 2FD 666 4F3 4D7 425 1DB 5EE 15D 466 B9 316 186 33C 3F6 2BF 657 5C 62 109 59 9D BF 15 68 1C0 3F7 5DE 383 
2B 31B 3DB C1 C7 10B 4BE 272 1D1 525 3B 140 5ED 5F4 596 134 468 3FC 540 FB 11C 58 4C2 5E1 3AD 81 1CE BA 56 37 D6 26F 10E 41E C2 5A5 92 128 38F D4 5FB 53A 214 3BE 7A 163 5DA 3E4 
