48 36 10 10 10
26A 342 2D2 5A8 5E3 3CE 7F 5FC 6BA 302 211 29F 281 327 27C 5DF 344 541 F4 3E9 60B 63D 257 6AD 4F1 311 4AB 25F 2FC 1EA D4 1D5 4D 41C 365 1B8 14A 638 4EA F9 423 17A 25D 18A 144 5C7 42F 37 
349 6A2 123 08 288 510 562 3FD 2DC 35A 5A2 581 4B0 1F3 50F 33A 11D 5C4 363 264 66B 3A 143 531 4F3 56D 1C9 4D2 5B7 42A 12E 3FB 1D2 142 68C 693 3E5 43 648 65E 3E6 271 28A AA 146 183 21 545 
20C 1F8 247 159 61A 157 370 3F9 3F1 47B 205 35D 635 2C9 631 277 4A9 371 544 2FE 446 588 594 5FD 51F 457 372 643 1B0 56B 52F 1C1 32C 4CC 4CE 1F1 489 673 22 50B 438 69C 236 696 10 7B 3E3 A8 
5D9 115 1D3 6D 1ED 22D 389 33E 29E 450 607 21B 50D 523 1D8 41A 5C0 3E1 657 662 116 295 106 5B4 A3 EB 2D 608 553 518 395 63C 1A3 8E 519 1DC 4B7 6B7 66D 3B9 203 56A 23 5F1 E6 5AA 19C 6AA 
570 151 463 1E2 213 625 374 375 62C 51C EF 2BB 2EA 37D 563 232 529 350 572 1D9 64A 64B 1B6 60A 05 32A 39F 2CE 3F2 3AB 679 4C1 1EF 431 665 5A 1FB 217 2D5 73 479 1AE 54B 86 56C 66C 366 4E6 
C2 259 B1 103 D7 A4 3BF 655 621 637 FE 4BB F0 646 112 61C 18 F6 6B6 248 3C2 1AC 507 3B6 13F 392 411 49 5BE 137 E9 2E1 491 23D 1B4 148 2A1 9C 2E8 16A 36E 4EB 1EC 364 15B 619 6AC 4E2 
38A 554 52A 29D 50C 2A5 6B3 589 2AD 398 520 4D4 6AF 206 181 2FB 4AF 6A5 28B 279 5BA 3E7 3EE 124 313 680 387 5A9 204 335 65D 38 385 296 649 565 171 1AD 6C 584 DB 7C 4C0 127 378 6B9 65C 2AE 
419 267 2B0 381 4C8 1D4 0C 209 62D 4E5 301 10E 3AA 65 110 4FA 16 2CD 1E4 BE 624 132 7D 2B1 54F 3B0 2C7 550 5B2 5EB 26E B6 4FE 1A 135 614 22A 13B 501 166 6AB 4F6 167 4BE 239 139 602 270 
632 367 379 66F F7 509 5BF 192 EA 3E8 672 5DA 4F8 75 2F1 219 377 2F3 52D 669 656 597 4D7 6A0 2E2 2D3 230 49F 37A 12A 58A 1DB 397 4A0 118 53B 45E 512 180 293 2BC 60 3CB 476 12C 207 47D 41B 
413 D1 9B 182 2E3 223 502 4F2 61F 697 56 326 5FE 4BD 177 5D0 415 44 333 40A 158 55A 20D 108 579 595 249 1D1 58C 216 44C 3C1 52B D5 289 1CD 255 235 4CD 5F4 224 652 318 33F 393 1D 368 332 
6B4 49B 1BC 12 454 5B5 43D 16C 198 4AD 25A 29B 3BA 65A 1D6 4E1 1F2 2C3 6A1 29A 28 5E4 C7 676 7A 440 31A 2E4 98 486 120 1A0 39D 337 5D 661 5AF 4B8 38E 622 599 19B 32 53 1F4 A2 CD 145 
