48 36 10 10 10
5AA 6BB 46D 60C 2C3 5B4 AC CB 39A 592 583 43 1B4 1D7 617 4DE 445 17E 398 571 1EA 411 4BE 16F 361 259 D1 664 578 260 93 5DE 5DB 149 1A4 4DB 634 EF 656 3E0 16A 10D 1B2 31F 3D4 1C7 1F7 638 
244 494 608 595 5B 69B 25B 42E 2FE 2D9 4E0 168 409 202 45 631 2F1 5CD 3B3 28C 36A 1FF 450 560 87 2E6 30F 2A3 534 576 1A2 171 659 3D0 185 5A9 48D 34F 427 3A0 16D 67D 1C4 1F 99 49A 85 2A 
304 F1 518 567 44B A1 D0 6E 44F 4DF 28E 1F5 2F8 9A 5C1 345 4C3 470 377 4B 51C 356 3A6 4DD 271 248 580 50B 3F0 263 57A 4A0 5C5 2B7 473 3AB 2D 328 205 4F8 542 64 489 5FD 21 3FE 292 43B 
436 3C6 6AD 1D5 3C8 692 307 41E 35B 258 227 665 157 13B 1AC 430 96 253 48F 3CC 62D 53 6A 63D 2CF 62 2EA 33F 183 22B 590 64A 27F 53E 4D4 ED 36B 693 1C8 203 3AA 3EC 2A0 289 467 B0 68F 198 
1B5 143 CE 225 176 488 679 464 36E 153 3A7 1A9 1FD 59F 680 184 51D 1E3 25F 2F3 364 4EB 449 108 58A 131 15 8C 3D5 1A 32 158 36F 0E 5F8 206 2A5 62B 386 310 FD 102 6A7 4FA 196 5FC 454 45F 
5D7 22 51 5BD 339 12 660 7E 27 570 E2 C5 41 4FF 5E9 327 51F 3B8 4AC 504 4F2 551 29 E6 62A 559 26 19 8A 6AC 12B 2DC 88 21A 3EA 24 AD 671 41C 208 561 441 43D 56B 2DF 3F9 31D 28B 
338 34B 6AF 527 FE 3C9 588 3C2 C8 3B7 18B 4D6 20E 55B 4BF 276 246 122 4E1 58 422 1AD 3DF 23D 396 39D 4C5 20D 414 249 681 AB 4E8 3FB 1B6 1E0 146 105 72 68E 426 297 0A 52B 694 3E8 49B 689 
627 38E 5A4 37B 5B6 331 C1 193 384 2DD 233 5AF 3BC 55F 201 654 395 180 675 344 487 156 469 4AE 385 29A D5 69A 389 298 60 562 DB 50 239 37C 151 32F 5BF 3F2 62F 13 23E 526 3CE 5D9 1F1 499 
1C0 95 152 513 2C 285 4F9 5F4 47D 41F 5D3 4E7 284 63C 648 116 32E 24A 1BE 376 A5 2BF 428 1F9 107 4A5 21C 5C4 64B 465 12A 393 A8 272 603 530 247 3A1 C2 65D 262 19B 221 59E 22C 1BD 5F6 45B 
319 66E 39F 8F 252 6A0 350 387 4CE 37E 582 167 655 229 B4 42C 2CA 1BF 646 179 3D7 5C3 6F 27C 57D AE 17 257 6B9 3CA 3E7 14F 2CE 1CE 5E6 FB 558 406 4A2 45A 4A8 C0 5E3 3FC 4CD 500 5DD 5F9 
61D 629 2E2 6AA 2C5 666 23C 360 33D 1E1 10B 138 27D 118 2BD 540 66F 2E8 6AB 585 4EA 2B2 348 503 3C0 6AE 50E 40D 1B0 403 2E3 676 A3 315 573 66D 316 545 204 2C2 479 6D 3D 324 619 568 1A6 12E 
1F6 48A E9 565 1FC 554 67C 1EE 602 686 4F0 2AA 1C2 1E8 97 3C3 76 BC 4EF 468 2A9 17C 4A4 6A5 690 61F 1AE 49C 35 616 483 34C 46 49D 61 4EC 63B 3B 238 2CC 405 240 641 0C 89 AF 532 223 
