24 18 10 10 10
19A 174 04 1A8 11B A9 FB 2D DA 39 196 17E 12E 0E 1D 16A 134 123 36 CE 14E F5 0F F2 
81 177 23 F7 157 3E E9 51 CF C5 6F 1AD D5 D8 105 73 139 112 AA 43 8C 1B 10F 15D 
192 1AF 1A 67 2B C3 ED 168 90 148 02 13B 16F EE 1A4 A2 56 AF 17F 7D 151 46 4E 10E 
16D 13E 16E 05 71 1A1 8D 125 170 12 4B 0A 1E 98 DC 19F 160 15F 5C 190 9F 143 17B 18E 
82 B1 D3 B2 9A 193 9D 11D 12C 100 1C 16B F9 B5 175 138 CD 31 158 103 11 E3 178 55 
189 17C DB 79 6E 119 10 129 A5 EF 59 1AC 66 199 9B 7F 1A7 F0 7C D6 53 117 BA 7A 
19D BF 13F 42 121 11E 1A3 12F FF 0B 8E AD 13C 77 1F 1A6 17A BB 6A B3 127 4A 49 17D 
E2 140 F8 AB E6 D0 3B 61 E1 147 167 163 89 FE 0D 33 6C 108 120 A3 7B B6 F3 5A 
155 A6 198 149 65 4F 11F 164 5D 14F B7 137 115 E7 62 C0 A8 58 111 E0 122 C8 80 41 
1A2 C6 01 114 AE 16 99 18B BE 191 D4 8F 118 124 08 11C 32 13D 145 84 4C E8 185 C4 
FC 50 26 C1 AC 15A 109 0C 12D 150 57 172 18C 184 15E 22 179 186 DF 8B 18 D9 CA 06 
F6 60 161 74 5F CC A0 188 94 13A 00 2F 165 154 93 DD 35 1AB 153 187 16C 25 E5 9E 
130 144 116 135 24 2A 30 101 14 D1 10B 69 12B B0 128 2C 27 2E 180 B8 136 141 1AA 03 
5E 10A 146 19E 3A 15B 64 54 3F 194 BD 87 1AE 169 159 10D A4 8A 6D 142 F4 17 181 EA 
14A 14D 86 15 21 40 7E 28 182 95 10C 171 19 C9 BC 126 B9 D2 18F 72 91 97 37 63 
09 113 102 5B 156 9C 20 44 107 1A0 B4 14C 132 88 19B 52 197 92 34 A1 76 1A5 110 195 
68 11A 45 A7 106 FD 14B 78 12A 176 FA 18D 173 47 85 DE EC 162 48 83 C7 133 C2 1A9 
183 D7 96 CB 29 E4 F1 152 19C 38 75 131 15C 3C EB 6B 166 07 104 70 4D 18A 13 3D 
