24 18 10 10 10
133 00 35 54 01 1AF F3 F4 100 50 104 19C 8E 60 13D 103 17F 152 11F 04 1A8 96 17C DD 
E7 110 AA 23 1A5 167 D1 11B 99 93 176 19 05 158 1A2 AD C0 1AE AB 89 06 D4 128 CD 
A6 B0 FA 21 E9 145 11E 71 91 D6 92 E5 118 DF 15E 10A 199 02 F8 F6 F7 1AC 1AB C3 
24 18B 37 185 184 07 08 94 70 CC 57 6C 5B 09 DE EF 72 14D 61 191 0A 0B 165 0C 
19F 3C E1 25 41 76 C9 16D 189 13A B4 EC 98 177 15A ED 143 0D 169 1B 34 138 DC 4C 
3E 192 1A9 14B 48 148 13E C2 AC BA CB 139 120 9B 03 63 6A B9 95 130 6F 13B BE 106 
19E 175 6B 5E 5D 4D 68 A0 65 A8 12F 0E 0F BF A2 10 102 14F 7A FB 11 56 F1 12 
A5 171 193 85 16F 13 E6 75 1A7 D0 1A0 80 19A 14 D2 49 114 9F 22 31 105 5A 10E 4B 
C7 6D 121 A1 A9 10D 82 126 E0 B5 18F FF 159 11D 20 C8 12A 123 A4 19B 15 BD 11C 135 
17A 17E 8B 16 18 115 A7 6E A3 19D 129 33 157 116 AE B3 C5 7F D9 1E 14A 10B 81 188 
66 51 172 119 EE 111 EA 17 1C 1D 131 BB 113 18D 164 7C 9D 3B 16B 117 79 B7 151 E2 
162 97 26 DB B8 52 D3 E4 10F 12B 77 112 30 122 B6 9C 27 C1 13C 108 15C 155 7B 1AA 
C6 28 10C 11A 32 EB CF 127 B1 4F 141 14C 74 69 38 132 29 190 186 109 18E 3D 16E 5C 
2A 196 CE 15B 181 D8 2B 150 AF 59 FE 1AD 18C 4A 8D 153 14E 178 2C 87 F5 187 DA 170 
1A4 156 58 7E 18A 67 13F 86 134 2D 197 1A3 CA F0 2E 9A F9 84 154 D5 125 2F 3F 9E 
55 1A1 12D 180 8A 16A 53 8F 40 73 182 137 88 42 B2 7D 195 43 12C 44 163 C4 8C D7 
3A 173 17B 45 15D 78 BC 101 39 46 144 47 F2 179 146 16C 124 1A FD 160 62 12E 142 90 
174 161 5F E8 4E 83 194 168 166 183 17D 136 1F FC 107 15F 149 1A6 36 147 198 E3 64 140 
