24 18 10 10 10
1AD 115 172 1AB E8 9D 07 DB 96 51 164 42 15D 17F 1AA 69 49 13E 79 1A 104 03 181 110 
146 E0 19B 6E 156 19E 103 0F D7 15B 127 6C E7 F8 A8 9C 12C 44 192 165 162 97 38 1A2 
190 ED 10B 08 122 184 121 2F 16A 18F C2 153 171 196 81 F5 AC 37 99 33 3F B3 16E 12B 
18A EC 19A 182 19F 17D D3 E5 17C E4 1A7 DD 4A 5E 9B 8E A1 11F 40 1A6 01 8A FB 111 
126 94 1D 1B 3A 24 11 93 195 25 163 60 5B 129 14E 166 19 5F 15 EE 85 14D 7C 145 
188 120 13F 11D C0 173 A5 7F 191 169 141 BE A7 88 19D D5 DA E3 0B 80 105 1AE 13 B5 
FA FE E2 C6 102 D6 AA 1AF 113 7A 05 16C 157 133 9F 4B 74 18B 176 12E DF 125 13A 17A 
1F 13C 36 1C 15F 13D 12 B9 0D AF 14B D2 10E 43 75 8B 09 194 82 11B 28 152 1A0 46 
151 12A 134 C7 A6 10C 6A 119 154 B1 17B 66 12F 193 70 0E 0A 9E 56 2C 7D 189 CA FD 
114 136 CF 35 11A DE A4 76 78 108 11C D0 F2 1E 95 183 C5 53 1A8 10F F0 62 F9 170 
6F 10 68 B8 7B 14C 178 147 142 101 FF 23 EF BA 100 179 00 31 90 C3 1AC 112 55 CD 
138 4E 161 148 139 A9 86 8C DC 50 AE 14 15E F3 AD 71 158 107 18E 22 3B 130 BC 29 
D9 167 26 160 131 E6 149 63 177 10D 17E 11E B4 140 AB 150 0C 41 54 17 87 E9 F7 52 
15C 84 8D 109 FC 89 106 98 B2 64 C8 1A5 2D 3D 132 187 137 CE A2 4F 18D F6 10A 61 
16 B0 C4 155 1A1 A3 117 159 04 197 F1 180 135 02 18C 5C 77 185 92 199 D4 27 73 EB 
F4 1A3 124 116 123 13B 3E A0 BD C9 19C 198 1A4 4C 144 72 58 BB 9A 4D EA C1 7E 175 
67 57 16D 83 1A9 91 CB B6 2A 20 18 5A 186 118 E1 65 BF 47 3C 2B 5D 143 2E 45 
6D 34 39 15A D8 CC 174 16B 12D 06 21 168 6B 128 32 59 48 D1 8F 30 16F 14A 14F B7 
