24 18 10 10 10
120 1B AA DE E9 9A 185 75 1AB 11B 136 103 70 16C 6D CF 114 135 96 1A7 5B E8 D3 56 
159 115 125 1A0 121 15B 4A 7D C2 0C 3D 189 10F 1C 20 15E A3 8B BA 94 117 09 6A 1A9 
11A 95 122 170 131 12 37 DA B6 69 166 46 06 2C 1A4 38 7E 160 1A5 C9 90 3C A4 3F 
BD C3 7A 137 41 18F 18D 68 74 E1 6E 197 110 16F 87 192 0B 60 59 52 107 1AF 113 89 
F3 15C EF 13E 139 E7 6B CA 163 100 A9 144 C0 A2 162 6C CB D4 184 8E 16A 105 4F 17E 
106 9C 1A 02 EB BC 151 172 40 169 10E FF F8 5A 18E 63 FA 10D 19F A6 A8 DD 33 8D 
181 179 E3 34 91 08 195 24 AB 149 126 21 18C 109 29 10B 14E 86 141 78 66 FD 111 1A8 
132 A5 54 DB 12F E6 5F 13 0E 155 E0 5D 112 07 D2 BE 1A6 173 32 DF 16E 152 118 178 
140 2A 47 2D 85 17C B5 13C 97 E5 7C 196 FE 17A B0 148 F5 171 129 19D 17 13B 1AC 76 
84 1AE 116 8A D0 4D 13A EA 16D 145 19 147 19C 61 17B B7 7F 5C 13D CC 25 ED 18A 73 
83 0F 28 130 23 14B B4 7B 1AA 15D 15A C1 F7 1F 14A 98 0D 0A 53 142 11E 48 167 182 
D9 190 2F AE 00 B2 39 102 10 154 F4 10A 26 108 E2 12E B8 157 11C 71 177 03 30 1E 
156 9E D6 11 124 AD 27 16 99 44 164 C5 3E 9B 180 1A2 15F 15 19B C6 DC 4C 8F 146 
A1 FC 8C 81 B1 36 104 B9 119 F6 58 199 F9 A7 1D 12B 01 6F 13F 80 174 158 1AD 127 
49 165 14D 2E 183 188 F0 64 3B 82 18B 161 101 5E EC 14C AF F1 175 BF D8 2B 72 3A 
50 79 42 186 62 4B 88 19A D7 198 9F 134 176 14 92 BB AC 128 194 11D D1 14F 143 E4 
133 65 193 191 B3 FB 35 51 153 45 F2 19E 05 12A EE 123 17F CD 11F 150 31 C4 168 C8 
12D 93 A0 4E 17D 77 1A3 18 04 22 1A1 187 9D 55 43 16B D5 57 67 CE 12C C7 138 10C 
