24 18 10 10 10
5B 19E 192 12F 171 2E 121 1B 12D 02 1A5 10D 168 75 C9 CF 129 1A2 62 174 C4 F6 161 D4 
137 74 C0 ED 49 153 122 05 13 4F 53 41 A2 1F C7 15A 4A 1A8 117 63 15D 06 11 124 
43 03 11D BE 10F B2 B4 55 1A 180 25 A9 FF 112 9D 2D 13A 1A3 123 68 3C 56 F2 179 
0B 195 80 1A9 175 83 10C 7B 102 16E 144 42 26 A8 115 FB 6F 88 F3 155 114 17C 11C 69 
DF 11F 125 1A7 FE 1D 5A 16C 185 52 99 71 1A0 B5 14A 0A 164 9A 12B 91 19A 30 CC 166 
B6 11E 197 18 15B CA 13D 45 73 4E 09 2B 141 18A 158 154 90 173 1AE 116 9E 190 77 14C 
2A 170 17D B1 21 E1 8D 14D FC 60 8A 9C C8 D2 C3 109 D7 1AF 16 12A 194 130 F8 5E 
7D 119 44 135 7E C5 8E 18D 13F 12C 61 23 0C BC 5C 148 113 188 1A4 193 7C 81 127 120 
17B 85 1AB 5D D8 14B 162 A1 156 139 11B 19C 04 34 17A 177 15E 150 87 10E 07 184 199 A0 
6D BF EF EE 48 134 1C C1 133 89 46 152 E3 172 EA DA 1E 8C 131 FD 128 146 18B 118 
14E 82 32 AC 0E C2 76 01 18E 178 1A6 15F 40 143 1AC B7 E5 36 00 29 59 13B 14F 167 
92 9F 17 14 1A1 151 31 38 104 9B D3 F1 DE F9 15C 3E 108 64 86 47 A4 165 18C 79 
65 8F 94 A5 5F 08 169 140 7A 37 A3 6B 3A 54 F5 8B 10 142 39 107 12E E8 EB E6 
10B 16A 132 189 57 4D 101 96 70 19D 35 F4 D9 50 181 DB D0 198 AF 98 1AA 100 136 E2 
78 191 33 11A E0 18F 17E CB A7 BA 16B 0D FA 97 126 16D 2F 22 58 7F 6C 145 B3 105 
66 AE AA D6 E9 DD 163 F0 182 20 1AD B0 B8 AD D1 2C 187 4B 19F 103 10A E4 3F 196 
15 157 6E CE 160 186 19B 67 12 13E 93 183 27 C6 106 51 0F 147 13C A6 4C B9 110 6A 
E7 16F BB CD 84 3B AB 149 72 D5 95 EC 3D 24 159 19 F7 138 17F 28 111 BD DC 176 
