24 18 10 10 10
FC D6 1A 90 C1 BD 1AE 16B 186 1AC 9E B8 E6 65 12B 21 B2 1A5 67 198 72 DA F2 3E 
38 18C 131 C8 6D 184 1A2 150 3F 13D A8 189 28 114 BC 2F DC 136 10C 155 130 16D 193 DF 
C7 4D 145 143 31 176 43 B0 1B 35 166 F0 9B FE 6B 112 DB 103 3B A4 EA 147 167 91 
D3 10 2E A6 37 59 11B 85 B3 5E 170 96 6E 14F 7D 46 E8 13F B4 A3 190 197 AA 47 
19B ED 24 194 45 11F 87 AF 6F 10A 14 17 117 FA 15D 8C 22 79 40 92 14A C3 19D 137 
133 69 15 10B 12E A7 111 7E 162 10D 5F BA F1 41 125 129 62 36 73 141 10E 50 154 76 
126 EE 169 A9 12F 5B C9 54 39 D1 15C 106 15F 7C 26 5A E7 18F A5 177 23 4B 8B 13 
109 4F EF 195 2A 68 AC 183 178 BF 174 132 7F 17B 17D 13C 1AD 14D 77 9A 13A 1E 94 16C 
8F C0 1A6 160 01 0D 180 1A3 191 187 97 101 18 03 146 F5 17E FB D9 99 27 1C D5 48 
00 11 1AA 185 0B 196 18A 107 D0 04 CD 11C 12A 63 A2 71 30 F7 DE 171 E0 113 1A4 32 
74 1D F9 14C 14B 80 148 EC 25 11D 29 119 B5 4E 9C 2D 110 172 44 13B 18D 104 11A 1A1 
56 6C 192 07 158 3A 188 122 42 108 B9 128 70 14E 152 F8 C2 84 BB 33 34 17C 175 FF 
18E 11E E9 179 CB 82 124 EB 5C 75 2B 83 CE 1A8 8E 88 DD 8D 168 102 10F A1 12C 1A7 
15B 182 157 C5 E4 20 12 93 19 58 19A 118 57 135 138 9F 123 105 19C 49 09 156 8A 66 
1F 142 15E D2 64 161 6A CF 153 4A CA 16E 17A 98 06 AD 02 89 0E 151 0A B1 17F 199 
D4 0C BE 115 3C 61 159 F4 86 B6 E2 53 78 1A9 A0 05 181 19E 1A0 15A 134 95 116 149 
16 13E 7B 08 140 7A E1 18B 52 19F 100 FD 164 C4 16F E5 9D 1AB E3 B7 D7 165 127 F3 
60 4C 173 144 AE C6 CC AB 55 16A D8 0F 139 F6 121 81 1AF 12D 51 2C 5D 120 163 3D 
