24 18 10 10 10
37 70 BF 5C D0 161 8A 11C C4 171 1AA 15A 118 59 BA 1AE 16D 11 48 1C BD 0E 11B 78 
187 B1 126 F2 101 EE 10E AF A9 42 142 01 7F 49 2B 186 7C DE DF 175 C3 05 16C 18D 
15 C8 1A7 9B 56 E7 2D 26 B5 1A 1A9 69 2F 4E F0 25 189 109 57 DA 9C 20 86 15C 
19C 191 159 EF CE 144 1A6 113 88 172 46 0B 152 CF 149 188 EC 31 134 111 13E 139 11D 47 
166 198 10F 9A 7E 192 43 167 6E 10C 6B 29 87 66 27 13 D7 180 17 A3 E2 136 1A8 103 
8D 63 72 83 157 E9 98 8E DD 16B 141 ED 17F 4D 132 6D 3D 76 CC 23 82 44 7D 3C 
38 F1 DC 1F 124 67 FF FC E3 128 93 18E 121 14D 61 169 E5 19D 24 35 40 3B 123 90 
15B 129 105 151 182 A8 16 195 09 119 10A 73 6A 80 138 127 15F 150 F4 18A A1 DB D1 16A 
1A0 1D 122 125 6F 184 08 13F B6 17A 1B 13C 162 CB EB 91 185 58 140 F8 14C 0D 9E 1E 
100 1A1 1A4 194 130 04 3E 2E 8B 154 9D 34 1A5 148 5B 81 163 4C 33 B9 C0 E4 77 B2 
17C 13D 0A 18F 170 30 19B 145 0F E6 21 F3 18 190 E0 110 19E 00 89 03 12A 17B 1A3 BC 
176 53 168 1AD 50 AD 12D 131 112 1AC B8 B4 D3 116 71 B3 15E 181 146 13B 196 FE A4 2C 
14A 104 99 178 5D F5 3F C1 1AB AC 19 147 FA 8F C6 A7 A0 C9 64 96 06 FD 177 179 
97 197 0C 14F 3A 1A2 02 BE 160 32 EA 74 174 62 117 95 4B F9 B7 1AF D8 75 C5 84 
A5 68 C2 8C 65 12E 79 16E AB 18C D5 153 CD 5E 51 183 12F 133 115 28 15D 14 165 A6 
120 135 AA 54 F7 108 D6 14B 36 92 10 107 45 4F 12C 158 199 17D 7A 9F AE 22 19F B0 
102 11F D4 5A 07 114 106 137 7B 12 11E 41 17E E8 85 193 D2 16F C7 E1 F6 11A 12B 19A 
13A 143 5F 10B FB A2 173 164 156 2A D9 94 10D 155 CA 14E BB 4A 60 6C 52 18B 55 39 
