24 18 10 10 10
B3 10 85 125 83 138 EA 58 16E BD 88 19 C0 102 86 38 15C 17B E9 137 62 127 17A 167 
194 2F BF F7 1AF 105 B2 B1 4B 130 112 89 25 29 0E 1C 150 16 8E FB 1A1 F9 1A9 15B 
FD 14F 117 14D 195 151 191 C7 81 F8 3F 176 27 11D 1A8 141 05 D2 11A B6 187 21 E1 15D 
16B 145 7D 41 17F 190 17 106 17D C8 1A5 E7 F6 100 5E 0A 39 2C B9 EC 2E 134 37 101 
2A 154 18A 174 84 ED A4 D8 C2 0C 02 192 4D AE 3B 198 76 116 124 D7 43 10C AB 10E 
91 D1 9C 172 12F 136 171 A7 13D 177 199 48 168 50 1F 104 3A 52 108 126 23 BA 9E 69 
16F EE 08 54 C1 1D 183 6F 68 166 BC 13E 44 AA 92 184 14B 15 9B 181 186 D0 5D 36 
1E 180 110 12B 19B 12E 142 139 15A 80 FF 19A B8 1B 04 5F E4 1AC 45 143 82 99 B7 B5 
149 148 19E FE 67 175 122 2D A3 1A2 D5 AD 1A7 8A EF 1AB 123 135 CE E0 75 87 120 96 
DA 66 12D 18E 19F 1A6 E6 8D 131 14E 4E 15F 1A3 160 19C 7A A0 C6 188 1A 196 5B 152 55 
159 AC 6C 197 B0 D4 95 24 7E 15E 1A4 6B 113 153 16D 170 13C 97 F1 F4 10B 1A0 B4 42 
57 14C 1AA 182 DC 00 94 61 EB 3C 14A 73 179 3D 10D 157 11E BE 13 146 19D 162 144 64 
178 6E 40 107 BB D6 16A 07 4A 13F 11B 7F F0 D9 9A 161 A8 D3 E2 18 F5 18D 90 169 
121 56 51 158 49 132 47 13B 163 111 77 119 140 CA 60 1AE 46 33 28 4F C5 79 12C DF 
129 CB 156 0D 17E 32 18C 18B 11 155 173 10A 14 114 CF E8 189 C9 F3 115 C4 22 6D 109 
164 12A A5 78 10F FC 147 8F 0F 35 31 59 2B A6 DD 8B 71 93 128 18F 74 11C 98 A1 
0B 5C 103 193 53 9D 34 06 63 65 4C 20 03 133 13A CC 16C 26 E3 1AD 01 12 185 11F 
72 7C 9F 165 A2 118 09 6A AF C3 A9 E5 DE 7B 17C 30 DB FA 8C 3E 5A 70 CD F2 
