14 14 10 10 10
23 A2 12 C4 B6 85 89 73 9A 30 09 CA C7 0A 
7C 5B 92 79 88 AB 49 69 46 6B 54 96 A9 7D 
BC 60 68 D9 35 6D 77 61 52 0B DD DB 2B 9C 
02 5A 11 03 33 2D 36 C8 C3 3D D6 6A 19 70 
01 C6 B5 AC A8 14 53 39 DA 74 45 B0 65 B9 
2C C2 1D 4D 90 5C CC 22 A1 25 D7 40 A6 C9 
84 CB 18 41 42 82 26 8B 3C 51 D0 7B 24 10 
94 07 3A 8A 43 AA 58 BB 83 DC 56 B7 1A 48 
4A 7A 05 16 99 CD 98 C5 00 59 27 86 D5 37 
91 A0 D3 D4 64 8C 1B AD 9B D8 21 B4 A3 BD 
28 78 95 08 93 BA B2 C0 47 1C 0C 0D 4C 3B 
29 57 32 B1 D1 5D 81 06 B3 80 A7 20 D2 55 
9D 62 87 97 6C 76 4B 72 2A A5 8D 75 66 15 
31 71 38 A4 50 C1 34 63 44 B8 17 13 04 67 
