14 14 10 10 10
1B 99 77 67 1A CA D1 DA 20 B0 35 0A 26 47 
C5 D9 C6 93 68 5A 71 D4 9A 08 39 7D 2C A8 
85 4B 22 42 A7 B7 9B 53 23 17 09 02 B9 3D 
37 72 DB 6D 5D 89 76 03 DC 63 05 D7 11 62 
A3 BC C0 C7 0C B2 B8 88 2A AC 5C 6B 00 31 
06 B1 6C 2B 27 D2 5B 57 D3 7B 41 1C 56 1D 
10 81 8C 48 44 36 13 D8 07 90 65 14 BA 9C 
60 3C 6A 49 C4 84 83 38 B4 4A CC 98 C8 87 
4D D0 54 29 A0 A1 80 AD 46 0D 55 51 04 78 
32 79 D6 33 19 A2 30 8D B3 D5 A4 45 28 97 
21 24 A9 CB 15 2D 01 61 AA C2 66 A5 DD 3B 
25 59 C9 B5 86 73 74 BD 96 7A CD 8A A6 82 
9D 94 40 70 B6 52 50 64 C3 75 34 4C 58 AB 
C1 3A 7C 0B 12 18 92 91 16 8B 69 BB 43 95 
