14 14 10 10 10
10 8B B8 D9 88 22 D1 C1 79 75 5A 69 19 01 
58 87 27 70 5B 92 20 89 0A 83 C8 CC CD 03 
2D B9 4C 7B 82 02 1C 68 D3 7A 08 9B 05 36 
65 59 4A A7 DB 86 0C 2C 2A 77 50 B3 8A 04 
99 C0 AD AB C4 3B 63 29 A0 95 8C 5C 0B 71 
B4 DA 51 D2 16 2B 48 35 84 BB 1A 28 40 62 
C6 9C C2 25 32 9A 14 B2 17 B1 33 5D 74 1B 
09 3D B0 4D 55 76 60 54 31 73 A6 61 42 00 
78 81 24 49 44 DC D7 6B 9D 11 CB B7 52 BD 
C3 98 85 37 57 6D A8 B5 7D 3C DD 13 97 BA 
80 0D 39 C9 1D 15 4B C5 07 38 A9 A5 30 C7 
93 18 56 91 A4 A1 46 21 7C 64 94 06 47 96 
90 53 3A AC A3 6A D5 23 B6 45 6C 67 66 D8 
34 8D 43 D4 41 D6 CA 26 D0 BC A2 12 72 AA 
