14 14 10 10 10
A5 18 48 1C 2A A0 17 3D 44 4C 0D 7C BB DA 
88 24 29 06 23 66 CA 46 5B 3B C6 A2 C8 AC 
3C 79 38 C1 50 1A 99 65 9D 93 70 AD 82 D8 
19 54 B8 87 C4 AB CB B2 75 7D A6 10 4A 4B 
25 07 58 A9 8B 72 2B 84 01 7A A3 BC 03 67 
BA 30 56 21 6C 05 81 2D CC 4D 51 B6 68 49 
D6 71 C2 B0 85 8D 02 83 12 92 73 C9 45 A7 
B7 D9 3A 52 16 14 C5 40 98 D2 33 09 8A 90 
69 04 5D 35 13 2C DB B9 8C BD 80 27 C3 47 
53 1D CD D4 D5 78 A4 63 D1 A8 6A B4 0B DC 
96 64 9A 41 36 C0 57 22 62 60 5A 28 D3 5C 
00 61 43 39 91 20 0C A1 AA D7 86 6D 9C 31 
34 D0 7B DD 74 0A 89 95 37 08 77 6B B1 97 
94 76 55 42 9B 1B 15 B3 11 59 32 26 C7 B5 
