14 14 10 10 10
1C 32 BB 63 6A 59 D5 1A 60 4C B7 6C 66 61 
80 27 39 D7 8B 29 D8 C7 22 18 62 6D A8 77 
74 89 31 15 5D 82 06 CB CA 42 C0 10 D4 B4 
DC C5 C1 12 70 26 BA 05 54 3A AC C9 DB 53 
7A C3 73 B8 B6 94 56 08 85 55 9B 81 99 2D 
D9 D0 5B 92 90 68 96 16 36 0C C2 76 A7 B3 
9D 98 AA 3D 2A 4A 8C D1 1B 7C BD 28 64 D2 
C6 69 91 6B 8D 07 49 47 21 44 4D A9 20 03 
88 5C 84 8A 95 78 23 BC A5 0A C4 11 AB 19 
DA 48 79 A6 A4 30 A2 37 86 0D 93 B0 2C 75 
A1 25 B1 2B A0 CD 34 17 A3 7B DD 52 67 41 
01 4B 5A 9C 00 CC 7D D6 43 13 72 14 0B 51 
71 97 B2 35 40 57 B9 58 87 45 3C C8 D3 33 
65 AD 24 B5 46 38 04 83 02 50 09 9A 3B 1D 
