14 14 10 10 10
D9 14 75 10 4A 18 A0 17 05 4C C1 94 C8 93 
19 A2 77 03 32 20 8C 36 34 73 3A 88 C3 39 
8A AA 49 72 B8 C5 74 1A 57 C7 89 26 27 2C 
CB 3D BC B7 33 B1 52 84 67 91 BB 06 6D 15 
A4 13 9A 8B D6 A9 04 24 40 AC 08 02 43 01 
4B 35 C9 8D 96 53 56 A5 64 A1 81 D3 B2 0A 
CD D5 70 5A 90 C0 54 D7 92 44 31 48 79 00 
97 0C 5D 42 45 CC 1D B4 1C 4D 7B 7A 3C 71 
07 D8 22 65 69 63 2B 29 68 78 B6 21 98 9C 
38 11 6C 7D 28 80 CA 66 7C 58 16 DC 62 83 
D0 6B 46 C6 D4 86 12 41 B3 AB BA A6 25 51 
B9 C4 2D 47 A7 D2 60 A8 3B 99 A3 76 50 B5 
DB 55 09 5C 6A 95 59 DA 61 87 82 5B DD 9B 
AD 30 0B 85 0D 37 D1 BD 2A 23 C2 1B B0 9D 
