14 14 10 10 10
1A 95 51 8A BA D4 02 46 C6 23 6A DA 1B 11 
7B AC B3 D2 08 79 15 5A 94 C2 88 75 61 00 
3B AD 97 A4 A7 62 73 A3 43 22 B7 52 42 B8 
26 85 1C 48 60 55 CC A9 6B 58 D0 C0 D5 4A 
D1 B4 DC 74 53 0D 0A 13 AA B5 A0 C1 91 77 
5C CB 17 0C 45 20 64 2A 5D 47 03 66 2B 6D 
3A 99 44 4D 2D 41 D3 DB 8C 21 78 C3 6C A5 
18 98 2C BB 87 12 D8 49 4C 28 67 B9 16 39 
C8 54 3D 24 93 B6 CA C5 36 04 9A 83 25 D9 
A1 C9 38 33 06 50 CD 9D 57 84 80 76 56 C7 
B2 07 63 27 DD B0 8B 69 32 09 7D BC 34 10 
D7 5B 82 14 81 1D 9C 7C C4 40 35 59 65 A2 
05 0B 96 30 68 8D 19 D6 86 A6 29 72 70 31 
AB BD 9B B1 71 4B 92 90 37 A8 3C 89 01 7A 
