16 16 15 50 100
71 86 19 49 3D 2D 35 BD D6 58 0F F4 5A 9F 73 CB 
8A 26 31 79 E1 44 C9 D5 57 AF 02 20 1A A5 10 7F 
37 3E AE D3 B6 2A 52 CC F2 4E 85 D4 96 2B 34 89 
60 29 84 F7 36 93 72 09 45 D2 5C FB D1 F8 24 A4 
13 B2 25 3F 22 04 6B EC 18 1B 5D 83 CA CF C7 E2 
E7 C8 ED C1 AD 81 F1 B7 3A 88 97 82 8B AC FC 67 
59 7A 46 6F 69 55 27 A2 7E 8E B5 FA F0 CE 01 94 
C4 48 6D 9A F3 7D 08 E9 0D 7C 5F 33 42 43 DB AA 
8C C3 50 51 EE EA 56 92 0A 03 0B 1D 7B A8 07 F5 
BC 78 80 D7 BF 9D 9C B9 B8 05 C0 2F 39 54 30 E0 
5B 6E B3 0C 4A A9 F9 91 E5 B0 2C 00 C5 47 28 9B 
FD C2 9E 4C EF 1C 63 15 61 2E 75 70 32 FF B1 6A 
77 1F 40 DF 87 5E 74 E8 A7 A3 62 D8 4F 11 AB 1E 
3B BE DE DA 3C 4D 4B 06 66 6C 95 23 BA C6 65 68 
DC 76 53 0E 21 B4 41 F6 A0 EB 8D A1 8F 99 DD BB 
12 FE D0 14 64 16 A6 17 38 90 CD E4 E6 D9 E3 98 
